,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,381.97025,-45.496002,-12.907122,31.022179,27.473492,-20.56205,-7.8562937,-0.80168045,0.70481735,-0.78280497,-3.1705856,-5.0890603,-1.7322028,2.862566,1.6912023,-0.16289969,-2.5553498,-0.8680579,0.73614615,1.9473826,-0.6040386,-1.2105078,-1.4605119,-2.0022151,0.74670845,2.8469834,-0.1518664,-2.8434224,-1.1240405,1.6264575,0.34700227,-1.8158884,-0.16723293,-0.17268899
1,-45.496002,241.65607,-2.7145095,20.697994,22.679852,-28.826023,-21.354183,5.4467673,2.67001,-4.599367,-6.2436996,-6.849534,-3.168588,-1.2922612,3.286899,1.0630053,-1.1070523,-0.28227428,-0.2995368,3.5539308,0.13876335,-2.0488877,-2.0215163,-0.9174706,-0.18650252,3.3647435,-1.1138291,-2.3444428,-1.9364039,2.132703,0.8662866,-0.6556037,-0.21533258,0.64895993
2,-12.907122,-2.7145095,102.216064,45.59796,3.1585186,10.699793,3.602481,1.2386715,-1.7458038,-12.870079,-5.0232887,0.36741108,5.9826727,-1.5145655,-0.5365552,4.9956107,-3.7474623,-5.3919687,-2.4286997,-2.1571279,-3.3349538,4.385067,2.2015603,0.800429,0.31492153,-0.08154622,1.112429,3.7343733,0.5637178,0.10857409,-1.5469532,1.5929735,2.1504333,-0.44603425
3,31.022179,20.697994,45.59796,77.62544,-9.411687,7.497703,-3.5023677,4.27404,4.130153,1.1569588,-0.5660013,2.8007298,0.24691516,-5.153347,-0.033773925,-4.0727844,2.9820461,5.189592,-0.20884652,0.9214103,4.0177746,-1.1496487,-0.4911507,0.96336997,-1.023694,-1.9637731,-0.76783055,0.09878546,-0.55908567,0.12399676,0.51019454,0.99551696,0.11670129,0.81266797
4,27.473492,22.679852,3.1585186,-9.411687,37.140545,-8.341575,-10.635275,-8.19244,-6.1040506,2.813593,-0.037425596,-4.0293465,-1.453936,-1.3701649,-0.714159,3.0834236,1.9542153,-4.393634,-1.6254079,-2.587593,-2.7240734,1.9346352,0.44252038,3.2141128,-0.39939198,-1.5462799,-0.7586383,2.7089539,2.3402085,-1.0304258,-2.1519146,0.21455324,0.017243931,-0.49089563
5,-20.56205,-28.826023,10.699793,7.497703,-8.341575,35.60768,2.4186454,-0.76818323,-0.629878,-5.350004,-4.9415197,-8.811136,-4.9401193,1.3071327,4.397321,-0.24730858,0.50697815,-3.1151223,0.5613443,0.098258555,2.9501262,-0.084054634,-1.0528102,2.018889,-2.604631,-1.1215951,-0.836059,-2.305722,-0.6108844,-0.33270097,-1.7167412,-0.3429833,-1.3174384,-0.6556171
6,-7.8562937,-21.354183,3.602481,-3.5023677,-10.635275,2.4186454,24.09893,-4.088136,4.8492465,0.5304091,-6.8252306,1.8673899,-0.16144848,-3.041955,4.6751504,1.3989732,-0.7943758,2.069119,-0.25575718,0.7849786,-4.1727695,-0.21591744,0.5508174,0.03250485,0.651941,2.7241797,-0.7751064,1.1490579,-0.842383,2.0751483,0.3369379,-0.6779281,1.222938,2.1493928
7,-0.80168045,5.4467673,1.2386715,4.27404,-8.19244,-0.76818323,-4.088136,30.45901,5.4747343,4.107175,-0.336805,4.7353573,3.5327222,3.2168956,1.1194193,-2.8162904,-0.7276803,-0.7899081,-0.8194964,-2.1502683,-2.7226083,0.83326864,0.9478996,0.78733885,0.38771075,-0.08574856,1.657845,-2.9133358,0.54990363,0.00711267,-0.64709747,-1.3399878,0.29616293,-1.1751456
8,0.70481735,2.67001,-1.7458038,4.130153,-6.1040506,-0.629878,4.8492465,5.4747343,27.169569,0.14698184,1.4816349,0.035951238,-3.8690505,5.8362336,-2.8484445,-0.4453289,0.24527028,0.5848466,-0.4677155,1.6036215,-0.37612516,0.24688736,-2.0033214,2.4714675,-0.25198233,2.5462024,-1.7536542,2.36489,-0.70241815,-0.041937575,-0.72180367,-1.5652401,0.93017197,-0.34404022
9,-0.78280497,-4.599367,-12.870079,1.1569588,2.813593,-5.350004,0.5304091,4.107175,0.14698184,19.09163,3.311361,-2.3553634,2.4212697,-1.9006166,-0.55099577,-1.0236267,1.9025074,2.7498622,-1.9790639,-3.4842987,-0.5630367,0.7273916,0.0072356574,1.9936662,-2.059435,0.30241224,-1.3498296,-1.1063983,-0.7106389,0.6536727,-0.04638761,0.5915252,1.0926063,0.58446574
