,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,257.53696,-8.5733795,11.982309,2.1748338,0.6460457,-1.32145,-13.592492,-2.2648504,-5.2051406,20.502739,8.184971,-7.6978855,2.1526399,-1.2725554,0.14801076,1.0821586,2.510832,1.1180744,5.0841875,3.664524,0.36399937,0.6272346,0.44194853,-3.293655,-0.81689024,0.5454769,-1.0050151,-0.39490965,-0.6833241,-1.7812221,1.6925441,0.85254383,1.101275,1.3305757,0.8063445,1.2982798,0.37152076,0.42459014,0.6603424,-0.07943592,-1.2219849,-0.12643014,1.6910753,0.48795342,0.23376052,0.19826116,1.4488997,-0.6425498,1.1858876,0.84931433,0.29053068,0.35987592,0.7628904,-1.1589459,0.08172041,-0.43237925,-0.3856516,0.86222106,0.9373025,0.041307926,-0.0019250573,0.28967273,-0.55183065,-0.4398957,-0.16385351,0.62090695,-0.57700694,-0.09389387,0.4958912,-0.76110184,0.39502117,-0.47092915,-0.28536952,0.5404521,-0.17541254,-0.2865234,-0.5039966,1.0926025,-0.19348347,0.28547412
1,-8.5733795,122.77314,0.9183248,1.692292,5.0680985,1.4076514,1.359184,-1.0759039,0.8060295,3.3773966,0.037867844,-1.0498798,1.4436047,0.29184192,0.024622502,0.37695095,1.2218876,0.50681424,0.025238106,1.5806531,0.7176403,-1.5104973,1.3996563,0.19831389,-0.539166,0.9826537,0.25685933,0.57219267,-1.2826866,-1.1386069,-0.3475247,0.96836853,0.32914668,-0.059342373,0.3399298,0.2844017,0.15404817,0.5597106,0.8589442,0.41951364,0.5664072,0.5758318,0.1687184,0.1266003,0.223855,0.32112056,0.13556522,0.7564385,0.12853453,0.31262267,0.6049745,0.13474873,-0.19114447,-0.114899874,-0.4557385,-0.122953,0.050968613,0.6146976,-0.35164303,-0.5632453,0.36152744,-0.3881691,0.11899267,0.40089834,-0.1614729,0.17732492,-0.2272707,0.3273971,-0.056686163,0.3288797,-0.02089647,0.21702477,0.05758539,0.08357057,0.029698543,-0.11589526,-0.021944892,0.21158737,-0.03238838,0.25734824
2,11.982309,0.9183248,103.38785,0.27515656,0.9895876,1.2830623,3.003889,-0.76020426,3.0317223,-3.5318594,-4.3102684,0.9224484,-0.65698946,-0.7642789,-2.5040262,-0.066140875,-0.7430055,-0.787958,0.82257605,-0.106303245,-0.512434,-0.41981232,-1.20367,0.9977237,-0.5632059,0.24879995,-0.88648164,-0.016125364,0.32326132,0.016933968,0.09750712,-0.95858127,0.21203172,0.0042932634,0.09737612,-0.14474533,-0.5381961,0.76148707,0.31319416,0.008387281,-0.5368306,0.3920127,-0.2621566,0.2294985,-0.28468108,0.3834036,0.13237564,-0.20789364,-0.23020788,-0.44996136,0.2653326,0.2683198,-0.2265136,-0.061684955,-0.2570456,-0.20606032,0.19174266,0.26469338,0.07651599,0.01469566,0.026667204,0.11971006,0.15159486,-0.053089,-0.21664253,-0.2563542,0.30047834,-0.16353628,-0.29826975,0.25235856,-0.66581833,-0.08848647,0.2203432,-0.01656174,0.14638662,0.28118277,0.10281141,0.09160325,-0.09126158,0.06455241
3,2.1748338,1.692292,0.27515656,69.01327,-4.0985265,-3.8532224,2.674327,-2.580313,0.8160206,-1.6356871,1.3848209,0.5595522,1.3348575,-0.7630796,2.9837267,-1.6533186,-2.8609762,-0.4880041,0.56367123,-0.45840135,-1.614073,-0.21236297,-0.79500175,-1.3155351,0.85523474,-1.6653647,-0.22895944,0.75119483,-0.3585608,-0.09830131,0.057972513,-0.9599645,-0.46611214,0.40606037,0.34230602,0.7506305,0.25985277,0.1542246,-0.3973078,0.76380575,-0.14808705,-0.09332971,0.51830477,0.268853,-0.019489272,-1.1334354,0.5502198,0.12157407,0.09294919,-0.22618455,-0.049247734,0.20513627,0.3725875,-0.31906813,-0.04006666,-0.24676639,0.21358359,0.022676373,-0.073186204,-0.1039163,-0.17068264,-0.025175873,-0.22262153,0.068453416,0.09018037,0.21309975,-0.1352643,0.19465837,-0.06813266,0.11937602,0.08442126,0.10932109,-0.019192915,0.059739836,-0.19501105,-0.10885158,-0.07828525,-0.13247176,0.21349809,-0.036650047
4,0.6460457,5.0680985,0.9895876,-4.0985265,41.253017,-1.9760027,-5.4171743,-1.0769057,-1.1947701,-2.2129653,2.569641,0.8188898,-0.12441954,0.27135122,0.32215756,-0.8209158,-1.7377975,-2.74254,0.7829102,-1.5785499,-0.63696474,-0.8121922,-0.82401466,-0.7785361,0.21506909,-1.8873655,-0.25357497,-0.1191054,1.1911666,0.99926233,0.6134888,-1.3998859,-0.41662824,0.3160086,0.1081965,0.56610763,0.055049706,-0.10038142,-0.6427679,0.22562279,-0.5081309,-0.47614795,-0.41405803,0.15528733,0.15679097,-0.45246136,0.3933597,-0.41578948,-0.04972422,-0.09954074,-0.17248696,0.29084352,0.5888494,-0.32591903,0.15055466,0.1214125,0.020442419,-0.56812084,0.031557843,0.37068045,-0.15323219,0.101304375,-0.11791347,-0.04044968,0.10672587,0.33270535,-0.032631446,0.048749786,0.048444472,-0.110459805,0.3678893,-0.27935407,-0.13510954,0.037136942,-0.14736483,-0.027605012,-0.07631312,-0.33293605,0.26305735,-0.50088453
5,-1.32145,1.4076514,1.2830623,-3.8532224,-1.9760027,37.608727,0.10424864,-0.003744198,-0.8023987,0.68345356,3.3130393,0.81829417,0.57218826,-0.62883997,2.0524054,-1.670779,-1.7309208,-0.03350739,-0.10895996,-0.27829883,-2.3215427,0.43220463,-0.8240372,-0.5559075,0.23212165,-0.13610987,0.6202376,0.11156182,-0.7225505,0.51028395,-0.45515478,-0.3274747,0.108939976,0.08405484,0.19260463,0.2583797,0.38833618,-0.09763744,0.038422372,0.6458191,0.07851492,0.06651925,0.55432165,0.20194834,0.15503737,-0.55007577,-0.013125886,-0.060425468,0.26914564,-0.2700445,-0.09934068,0.22453532,0.011453108,0.042543046,0.3773451,-0.2283851,-0.23855448,0.03214895,0.027285133,0.118418515,-0.3248633,0.06749694,-0.0072524636,-0.26888502,0.06527042,-0.120378956,-0.026323486,-0.13351455,0.038893208,0.04179743,-0.23303548,0.08000472,0.038101085,-0.06342618,-0.04228126,-0.033239942,0.0018600081,-0.12669827,0.03788854,0.14859658
6,-13.592492,1.359184,3.003889,2.674327,-5.4171743,0.10424864,22.207123,-0.5697079,-2.0636816,2.8835316,3.5087838,-0.06734282,0.02781445,2.0687156,-3.4164329,-1.0670612,0.62267184,-2.919918,1.2724259,0.3436119,0.45134333,-1.5864947,-0.30842704,-0.15095867,-1.1560309,-0.035586696,0.8846923,-1.1031171,0.6933981,1.4154601,1.2498753,-0.22459799,0.35014838,-1.2019482,0.17641154,-0.15471804,0.363845,0.30808094,-0.065231755,0.053794764,0.09713034,0.04198391,-0.71016955,0.035857648,0.089040264,0.82464296,-0.1818267,-0.35046732,0.25603622,-0.06367112,-0.0030160055,0.09487258,0.53907907,-0.32006997,0.23160169,0.6019836,-0.11802037,-0.22342002,0.0013064614,0.76404214,-0.10903157,0.12321228,0.17922944,-0.19551441,0.17317496,-0.02388689,-0.07345729,-0.20401105,0.46304375,-0.21250698,0.3075759,-0.19265337,-0.035438783,0.067792416,0.06575935,-0.13102467,-0.08884545,-0.04383124,0.019896615,-0.116686225
7,-2.2648504,-1.0759039,-0.76020426,-2.580313,-1.0769057,-0.003744198,-0.5697079,27.44002,2.0855803,-0.43361443,-3.998514,0.052309655,2.317874,0.84769297,0.45231175,-2.6617503,-0.8427118,-0.25637484,0.1026165,1.5175147,0.48033178,-1.3878875,-0.36993867,-1.6270655,-0.0985286,-0.23152332,-0.16872326,-0.06695266,-0.08236306,-0.090284936,0.7760589,-0.46009776,0.22179855,-0.15426466,0.6649262,0.4467936,0.25249523,0.47532457,-0.091888785,0.059099503,-0.09323355,-0.07962932,0.02881878,0.21111342,0.12696204,-0.321875,0.5555392,0.31818804,0.25977588,0.3310279,0.26769164,-0.054107383,0.494665,-0.671103,0.07302201,-0.18954019,0.19662143,0.33343363,0.11410197,-0.12949795,0.029830022,0.0679148,-0.06748882,0.14725344,0.15047505,0.2604835,0.0020218752,0.19117466,0.22519305,-0.17888936,0.29339194,0.05505038,0.032862846,0.1042665,-0.06782437,-0.107020825,-0.094126806,0.12790234,-0.0001751068,-0.10004877
8,-5.2051406,0.8060295,3.0317223,0.8160206,-1.1947701,-0.8023987,-2.0636816,2.0855803,24.897476,1.591593,3.4045997,0.040854923,-0.72658765,0.0014768821,0.8197767,0.28759956,0.81145287,-0.11279263,-0.9157906,-1.0270913,-0.5460934,0.29192835,0.47078732,0.70883703,-0.2703414,0.38182268,0.17277965,-0.1939981,0.4028368,0.19172746,-0.6694471,0.059695974,0.55450386,0.46139896,-0.28871727,0.08855562,-0.04313067,-0.47033495,-0.2486054,-0.25142288,-0.01458749,-0.26997745,-0.054241713,-0.098309696,0.10119133,-0.11815174,0.042888783,-0.05764202,0.038549326,0.29485005,-0.073609166,-0.06422001,0.0010955352,-0.09788269,0.36301446,-0.005486095,-0.4858125,-0.29168877,0.0016396733,-0.05195304,-0.008753106,0.06528547,-0.29842204,-0.17755587,0.012171843,-0.0022271518,0.041728884,-0.13067478,0.10844674,-0.1884763,0.22520712,-0.08310721,-0.122669406,0.008144723,-0.109593324,0.015055538,-0.008218623,-0.05090158,-0.09468737,-0.18314469
9,20.502739,3.3773966,-3.5318594,-1.6356871,-2.2129653,0.68345356,2.8835316,-0.43361443,1.591593,14.970487,-3.2095246,2.46235,-0.33026773,0.5924448,0.24015039,-0.55307436,-1.1397972,-0.6358984,-1.3936996,-1.2172637,0.38201854,-0.5242269,-0.25344366,0.4375046,0.52364814,-0.933144,-0.13408597,-0.06454665,0.7543789,0.64590245,-0.19982648,-0.7547388,-0.28024292,-0.19829547,0.03328824,-0.09111057,-0.20695433,0.10011824,-0.23726082,0.23574525,-0.09182429,0.17988612,-0.47367463,0.012421092,-0.058961403,0.053243116,-0.17634226,0.08289167,-0.061080676,-0.3023975,-0.080378205,0.043972522,0.016277827,0.14027947,-0.074749395,0.11641185,0.15144026,-0.33153307,-0.3731851,0.23145077,0.0622702,0.0018287627,0.017914511,0.08157575,0.065671325,-0.1642175,0.060725898,-0.0017033212,-0.19026776,0.14667323,0.14501292,0.071888536,-0.021429848,-0.012063379,0.00042913295,0.01576604,0.071319915,-0.25059122,0.08483969,-0.16399768
