,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,298.99152,9.243843,40.862442,-77.798294,23.48428,-40.88343,17.300411,2.0031075,-1.0240798,-25.597801,-14.057507,-4.1367826,-8.652376,3.2905564,-6.2771015,10.494875,-0.15400985,9.769869,-1.3261719,1.5174024,-4.6064806,-2.0468116,1.8756967,2.3084059,-1.3054206,1.4795943,0.1700936,1.9062293,-1.5177935,5.9413023,-1.6701226,-1.3901389,-1.3009009,3.6956735,-2.2456603,2.6777515,1.9632363,2.943886,4.9282365,-0.7641939,1.8628631,-2.5996122,3.593563,-1.1303095,0.3780837,1.0611427,-2.2997777,2.1400251,-0.8999219,2.8539224,-0.40184855,1.4520862,2.2208705,-1.4481151,1.8048198,1.359956,-0.9072433,-1.4392345
1,9.243843,187.95862,26.506567,12.724499,9.3881855,-3.6849236,-4.8936644,-1.5991695,15.069719,4.995538,-2.012323,1.4017974,-1.1858191,-8.527945,-0.546681,-2.8847682,3.74476,-0.97443366,1.9082782,4.1339602,2.933147,0.99911714,6.871357,1.2999768,7.695276,-2.9947543,1.017374,1.9113185,-1.5336868,1.1784037,-3.7146146,-2.812234,-2.0438952,2.9923525,-0.91019064,-1.9782786,-3.5107884,-2.298155,0.55655885,0.24288101,0.7577434,-1.3243579,2.398957,-1.9677293,-1.8777621,0.14090946,0.1284439,-1.2612803,-1.430315,-0.7321884,0.21211764,-1.8239751,0.818167,0.6547219,0.27148926,-0.4390619,-0.0005227854,0.4547848
2,40.862442,26.506567,98.50475,-9.460205,-18.908417,6.058279,4.924796,11.662035,-5.560786,7.0371113,-2.7313166,1.6956384,-1.4176412,-1.3850553,1.6224806,1.6050909,0.59681046,3.214767,-7.873302,-5.746679,-3.9600563,-1.3415906,3.7637305,1.0796431,-0.41506407,1.1202346,-2.567153,2.4562502,0.60205734,-1.3699801,0.39761508,0.6808424,-1.0372202,-2.1393728,2.6458716,-1.5157905,1.4753901,0.7975021,1.6315744,-3.153504,3.0290527,0.67262024,0.9100019,-1.2649927,-1.2891444,1.8671333,-1.5979753,-0.8431126,-1.1890143,-0.644783,0.56561124,1.354772,0.8167864,0.6299374,-0.38507825,-0.9729372,-0.6009339,0.5140376
3,-77.798294,12.724499,-9.460205,59.74837,-7.8868504,6.532114,6.701268,-0.8196526,10.430996,1.9883491,2.3073013,-1.4447963,3.0250385,1.2856643,-2.7461214,-3.250023,-1.5661738,0.062040687,-0.119277164,-3.477383,0.18632165,0.8923385,0.91256714,-4.0605445,-0.5804194,-1.9564567,-2.9674459,0.52948153,-0.19190301,-0.5192772,-1.031026,-1.9606166,-2.7291179,-2.0837579,2.487225,3.2671838,-0.35605088,0.9039665,-0.018684618,1.166208,-1.2393634,0.7569225,-0.38294795,0.26090482,-0.036749557,1.2730067,-0.20738181,-0.87613916,0.47173005,0.08209694,-0.65945935,0.53813416,1.1179008,0.015893858,0.8274268,0.20818177,-0.73397505,0.39102352
4,23.48428,9.3881855,-18.908417,-7.8868504,72.949196,-1.4795694,0.63497174,1.1957879,1.908849,5.516777,0.57111204,1.4021937,-3.6271763,2.7992654,0.46528924,-1.9419627,1.0656514,-0.59528637,-0.7110525,-1.927763,-0.55854905,0.3250433,0.77509713,-0.63844514,-0.69555604,-0.6032537,-1.2172792,0.94106585,-0.9741872,-0.27919215,1.5084193,0.97771895,-0.3702137,-1.7310419,1.3135782,0.08671203,0.026778419,0.5682757,0.21995197,0.33395576,-0.42162454,-0.73696965,-1.3319249,0.63358736,-1.229054,0.39453703,-0.3768958,-0.4011011,0.40088207,0.45147368,-0.12568451,0.11035378,-0.24131697,0.089257,-0.10369526,-0.82498753,-0.87946945,-0.1501508
5,-40.88343,-3.6849236,6.058279,6.532114,-1.4795694,22.74379,7.9655952,4.9793596,-0.58792484,3.5884767,1.292274,0.76627135,0.918597,5.5074325,4.1214542,-0.9456332,-1.0298257,0.37417817,1.3896213,-0.94580936,1.4510012,1.434329,-0.97314227,1.4464009,3.1129594,-1.8352952,-0.14334959,0.14416824,1.0044383,-3.2775965,0.5622431,0.6481328,1.541002,0.21134952,0.27122843,-1.2398626,-0.2163091,-0.16745533,0.29189885,0.013967555,1.7313578,-1.1397777,-1.0676138,0.9144131,-0.3258228,-0.15753454,-0.3918211,-0.57998693,-0.07725988,0.06617071,0.16368555,-0.28906113,0.19254802,-0.10367138,-0.80294496,-0.54207253,-0.07643755,0.3596754
6,17.300411,-4.8936644,4.924796,6.701268,0.63497174,7.9655952,39.960117,-0.38859862,1.526593,-0.8528847,-6.482203,-1.497049,-3.0086794,2.3918996,2.7624438,3.9016929,3.2320857,-1.7652043,2.2859354,1.4400563,0.06684896,2.2167926,0.18972686,-0.76144695,-1.0572095,-2.0330007,-0.61603236,1.1874102,-0.18564436,0.10573144,0.6220197,0.63461375,-0.9276537,-0.083856285,1.2102294,0.023794662,-0.5720341,0.41950154,0.4804973,0.31824172,0.5426899,-0.26338613,0.20452818,-0.092848845,-0.061168835,-0.43077454,0.07541832,-0.17911865,-1.0494411,-0.7688334,-0.35656607,0.013387683,0.3595677,-0.39415315,0.537107,0.71384525,0.9179572,-0.18198222
7,2.0031075,-1.5991695,11.662035,-0.8196526,1.1957879,4.9793596,-0.38859862,26.252674,2.201284,0.9204867,-1.0750972,-0.61428905,1.7636617,0.7313842,-0.34870452,-3.0093236,1.3208785,2.9604783,0.40843058,-0.22272438,0.383649,-0.4627755,0.31292012,1.6525996,0.6161187,-1.5604079,0.5200548,-0.164303,-0.20163862,0.538123,0.5084156,0.6710561,0.19998461,-1.6792834,-2.2817173,-0.7804158,1.2993064,1.0386262,0.71886325,0.93976647,-1.2826648,-0.13242999,-0.55029255,0.7145394,-0.57010627,-0.14694068,0.27690333,-1.1106095,0.89248043,0.9974948,1.0397573,0.474137,0.51270175,-0.088049404,-0.34467757,0.9371562,0.8556909,0.07149091
8,-1.0240798,15.069719,-5.560786,10.430996,1.908849,-0.58792484,1.526593,2.201284,18.611347,-3.2430005,0.64106923,2.0871873,-0.77445936,-1.1570222,-0.20588917,1.6140044,2.3979127,1.5289154,3.789376,-2.674291,0.9997827,-0.2171861,-0.93325984,-0.5898149,-0.94602185,1.6199696,-0.35809922,-1.0775008,0.32832098,0.21465921,0.9054762,-0.023413353,0.37790567,0.96141243,-1.3411664,0.08738135,-0.041051827,0.5478299,1.5874437,0.15254499,0.98069704,1.7572249,0.32764488,0.7374487,0.57226133,0.87220526,-0.44155058,-0.08200939,0.48556927,0.5725777,0.26165962,0.31869936,-0.05213803,-0.28789836,0.007348613,0.115746096,-0.048763964,0.76374686
9,-25.597801,4.995538,7.0371113,1.9883491,5.516777,3.5884767,-0.8528847,0.9204867,-3.2430005,20.90999,1.4538207,-2.5392118,-1.5890124,-0.70927715,-2.2135763,0.9128227,0.6462716,0.9449071,-0.26885954,-0.63487864,-0.8117188,0.31179196,-0.94521713,-1.4506984,-0.15476444,0.5912937,-0.095805466,0.62946033,1.5197375,0.5492399,1.9344633,0.23772335,0.3652319,0.8154357,0.5392244,0.01934703,1.1329024,-0.47155315,-0.6015836,1.1995922,-0.1171218,0.6110257,0.6210879,-0.61072254,-0.20158833,-0.06973636,0.1198394,0.81271803,-1.0084381,-1.1326776,1.4790641,-0.6557992,-0.7275559,-0.06391011,-0.050921977,0.091959566,0.8221437,-0.079817474
