,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,433.43454,-9.20392,-37.27861,72.20759,-21.630777,37.71559,-15.628,-1.832989,1.1217561,23.378117,12.814992,3.8316445,7.9822793,-3.3527799,5.9051113,-9.773998,0.3847693,-8.949213,1.1687667,-1.4619853,4.3562274,1.7668884,-1.8732567,-1.9672744,0.89299244,-1.3637352,-0.196381,-1.6820544,1.5620456,-5.373415,1.6386664,1.1516781,1.2090615,-3.3855112,2.1084137,-2.4903646,-1.8887622,-2.7772748,-4.537166,0.69498324,-1.9024737,2.3874378,-3.299108,1.1068305,-0.17259261,-0.95459867,2.0624154,-2.073979,0.8275,-2.5593266,0.2950529,-1.4497926,-2.1249595,1.4593341,-1.6800532,-1.3123406,0.8757308,1.5034187
1,-9.20392,65.72987,-23.914923,-11.275836,-8.6058235,3.4347239,4.9644337,1.5043947,-13.65962,-4.9475145,1.6320628,-1.2922978,1.0980673,7.4648848,0.6486285,2.5557075,-3.142222,0.977427,-1.8422196,-3.8834047,-2.584644,-1.0838578,-6.5252376,-0.9882678,-7.510501,2.7714653,-0.99778426,-1.6534706,1.6238853,-0.94254756,3.5570016,2.420413,1.9017714,-2.7267308,0.8873354,1.796479,3.1341462,2.0399618,-0.50201833,-0.23430003,-0.94778895,1.207738,-2.1873317,1.8919933,1.9691622,-0.08830033,-0.20159212,1.0486047,1.3123913,0.7758192,-0.29648536,1.5418786,-0.8604663,-0.44307697,-0.27543646,0.33515123,0.050142653,-0.19749902
2,-37.27861,-23.914923,77.010994,8.373042,17.411844,-5.5348873,-4.8303337,-10.773403,4.9998493,-6.292275,2.6462111,-1.5863104,1.3191562,1.5452063,-1.5909722,-1.4062765,-0.7553266,-3.032033,7.3082027,5.3635564,3.5609245,1.3395495,-3.3534503,-1.13451,0.64418197,-1.0329335,2.3979142,-2.325717,-0.6915577,1.1722405,-0.44727945,-0.52106285,0.9535036,1.9542257,-2.4715195,1.4114032,-1.3024194,-0.6881864,-1.5185492,2.9219294,-2.6492968,-0.60984486,-0.85275656,1.1100743,1.0461172,-1.7386098,1.5227778,0.86804414,1.0975204,0.5336598,-0.45979846,-1.158339,-0.6956098,-0.6831807,0.36343175,0.94841015,0.5225192,-0.6245294
3,72.20759,-11.275836,8.373042,67.44847,7.2418475,-5.902081,-6.431409,0.758368,-9.718504,-1.6692599,-2.0394647,1.2956309,-2.7710886,-0.94742215,2.4521768,3.0725846,1.2642789,-0.12900788,0.13461524,3.277081,-0.27099168,-0.7374625,-0.7333913,3.6255107,0.7640213,1.8123333,2.754533,-0.5275913,0.05594685,0.39929307,0.8834559,1.8987781,2.5212283,1.9076734,-2.320362,-3.0119967,0.37226987,-0.79667366,0.0014165012,-1.0624208,1.2601395,-0.68762755,0.3469075,-0.30019993,-0.084627055,-1.1765444,0.2279932,0.9036811,-0.44023946,-0.12701626,0.66107965,-0.41492683,-0.99039733,-0.101956636,-0.7650165,-0.14284024,0.64905715,-0.49952802
4,-21.630777,-8.6058235,17.411844,7.2418475,11.389188,1.3704473,-0.618376,-1.1051886,-1.7779436,-5.0696125,-0.5126598,-1.2962828,3.3492384,-2.554357,-0.43995905,1.8009586,-1.0065408,0.54255736,0.6610493,1.7857311,0.50532913,-0.28877252,-0.70217645,0.5739659,0.67112803,0.5568471,1.1270311,-0.8755665,0.8842099,0.24741915,-1.4014442,-0.8904184,0.34121376,1.5955889,-1.2158158,-0.07850194,-0.017860442,-0.5191028,-0.20438881,-0.3071354,0.40578073,0.68148494,1.227952,-0.59104097,1.1183712,-0.36610997,0.353395,0.3799901,-0.36989108,-0.42366955,0.12302628,-0.091631696,0.22938547,-0.0937549,0.09675865,0.76704293,0.808242,0.122050405
5,37.71559,3.4347239,-5.5348873,-5.902081,1.3704473,44.03428,-7.35997,-4.6176424,0.4817442,-3.2854114,-1.1494198,-0.66338986,-0.87531745,-5.0957003,-3.8024948,0.858315,0.9557681,-0.31260735,-1.2579415,0.83851683,-1.3042908,-1.3184571,0.89071774,-1.3309295,-2.8724885,1.681799,0.15326974,-0.16104195,-0.92237186,3.0235176,-0.5235575,-0.5866871,-1.4349854,-0.1999681,-0.2528099,1.1596451,0.21916229,0.16412446,-0.25855315,-0.022821717,-1.5701936,1.0487342,0.975249,-0.8241201,0.28402823,0.1194032,0.37383145,0.50037235,0.08237873,-0.06698254,-0.14598727,0.26437205,-0.15699288,0.09158756,0.7590545,0.48872542,0.071175754,-0.31600398
6,-15.628,4.9644337,-4.8303337,-6.431409,-0.618376,-7.35997,16.332241,0.3454057,-1.5335476,0.9564904,6.0958443,1.3786185,2.777224,-2.0003698,-2.6232069,-3.5462506,-3.143755,1.5878737,-2.0704932,-1.2930522,-0.12615728,-1.964473,-0.08201085,0.5950187,1.1827829,1.873708,0.59733963,-1.150907,0.06530584,-0.17127056,-0.6390617,-0.497233,0.8493463,0.05968886,-1.1409974,-0.0077405027,0.581118,-0.34638748,-0.45014453,-0.28806415,-0.3763357,0.2507888,-0.20199025,0.04616856,-0.06245043,0.37788868,-0.028047808,0.22617587,0.9721636,0.6592318,0.38002554,0.059837162,-0.2796446,0.2820901,-0.48420072,-0.6226071,-0.87262404,0.054090336
7,-1.832989,1.5043947,-10.773403,0.758368,-1.1051886,-4.6176424,0.3454057,15.315786,-2.045847,-0.8371036,1.0036418,0.57203805,-1.6311922,-0.66522443,0.31808162,2.7790704,-1.22744,-2.7309427,-0.37189606,0.20342335,-0.35331136,0.432302,-0.2845683,-1.5308855,-0.55724573,1.438756,-0.4759786,0.14537576,0.18090397,-0.5009929,-0.47343338,-0.6132085,-0.18644805,1.5485537,2.1046057,0.7229756,-1.1941811,-0.9553515,-0.66262865,-0.86834574,1.19417,0.12229459,0.5060127,-0.65936905,0.5177307,0.13140479,-0.2519073,1.0241383,-0.8223833,-0.9242501,-0.95639175,-0.4339788,-0.46781796,0.076308765,0.32101148,-0.86448324,-0.79118437,-0.07032439
8,1.1217561,-13.65962,4.9998493,-9.718504,-1.7779436,0.4817442,-1.5335476,-2.045847,17.998592,3.0934358,-0.51745534,-1.9141464,0.7060543,1.1753465,0.15134901,-1.4650663,-2.2977767,-1.4223729,-3.468583,2.476512,-0.9455003,0.24618372,0.90916467,0.48794907,0.9846635,-1.5009295,0.35281566,0.95616436,-0.35840112,-0.23834072,-0.87217486,0.07293247,-0.3565821,-0.89858645,1.224391,-0.06802805,0.07263081,-0.48063272,-1.4652711,-0.14101857,-0.8291992,-1.6189601,-0.31287116,-0.6954237,-0.59758234,-0.8243693,0.43373606,0.09632147,-0.44291428,-0.55759805,-0.21257725,-0.25617218,0.08329977,0.2205368,0.0055139475,-0.09120579,0.031636074,-0.7608893
9,23.378117,-4.9475145,-6.292275,-1.6692599,-5.0696125,-3.2854114,0.9564904,-0.8371036,3.0934358,12.004951,-1.4306738,2.3408873,1.470433,0.5022503,2.0974905,-0.8818407,-0.47844183,-0.8454954,0.21567206,0.56345123,0.7927619,-0.34918362,0.80445623,1.4185442,-0.010670308,-0.5420612,0.06460001,-0.5368702,-1.3247935,-0.45210463,-1.7369554,-0.28656167,-0.33041653,-0.73898405,-0.47977194,-0.030294131,-1.0876157,0.4037996,0.5588525,-1.1102889,0.012177219,-0.5692904,-0.5622418,0.5905634,0.276352,0.08227021,-0.14298251,-0.79099166,0.9269177,1.0837238,-1.4036877,0.5521422,0.630268,0.12012553,0.03618981,-0.11036188,-0.74024963,0.15610951
