,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,140.8193,-20.243454,-25.279526,28.8673,9.345845,-26.33377,-2.6680012,3.7095618,-13.959555,8.575582,14.644051,-14.010432,3.2832317,-1.2723681,5.89256,-0.8491373,4.2243977,-25.71868,-1.3765267,-2.0184875,2.3153882,-3.6949544,-2.0548148,2.4393008,-5.8208284,-3.7173924,-1.204165,1.092368,-0.73268265,-3.691933,-3.2305875,-2.7372541,0.64765114,3.7419522,1.517,-3.756741,4.5817394,-0.262289,-2.6686287,4.667708,-0.5803459,-2.8248773,-2.717593,-3.782193,-3.0159664,3.9708443,-1.1679775,2.9249,0.93953073,-1.0574802,0.40398788,-1.1636676,-1.3734974,-2.2299023,0.041160405,1.07008,3.4869838,-2.1526337,-1.290122,2.217379,-1.1640604,0.20854339,-1.6585448,-0.06535832,-0.25705916,1.0659981,-0.8913609,1.0802593,-0.04099729,0.26197153,-0.02500115,2.5498424,-2.0163136,-0.31466776,1.644516,-1.0016041,2.064211,-0.2293954,0.9439355,0.71322274,0.074610144,-0.04444534,-1.4714415,0.2218433,0.765448,-1.1809714,0.38719094,0.33843368,-0.6143658,0.9038663,1.036339,-0.24665284,1.1846621,-1.0794051,0.8023271,0.20178303,-0.35061345,-0.85544944,-0.039131206,-0.10634166,-0.4894617,-0.49114805,0.84949327,0.28984004,0.5482439,0.006380392,0.030009191,0.48721102,-1.1560857
1,-20.243454,109.897865,6.0021152,6.010534,6.430518,7.6527925,13.542017,-5.9064264,-7.901451,6.8300247,-1.6842213,2.9912696,10.297031,1.0912395,-0.4393119,-7.9971414,0.42141512,-5.1938205,-5.356231,-0.1429804,2.4285436,0.85220075,1.4442606,4.5624847,-1.2631203,-0.33780822,-3.4331675,-1.7521763,3.300681,-2.7027192,0.8875251,8.110056,-2.2488008,-1.2852597,-0.29725778,-3.446283,-4.181187,-1.717499,1.8200669,-1.2032323,0.39211208,3.1556015,0.61552095,0.95371985,-0.616952,2.211951,-0.746228,-4.455735,-1.1775737,-0.2042492,-0.46886128,0.05666955,-0.3664369,0.15101072,1.1846209,-0.5131175,-3.7945812,1.6231472,-3.3420792,1.7089136,-0.16115321,-0.7677573,0.61300075,-0.72215265,0.73807883,0.796827,-0.6262563,-0.7401329,1.3614922,-0.074721076,0.70431423,0.5452683,1.0297766,0.5607194,0.0448623,0.305169,-0.094052196,0.7151607,-1.3802185,0.29808474,-1.4299603,1.2598116,-0.05202631,-2.0449758,-1.9802597,0.33299243,-1.6759145,0.8093632,0.09981774,-0.8138123,-1.0528969,0.51617515,-0.31303293,-0.04171104,0.33922738,0.3790751,0.7185426,-0.27409,-1.7777841,-0.10345313,0.9720317,1.2870438,0.044649117,-0.13371484,0.63297606,-0.26908088,-0.23064077,0.04908833,0.40556222
2,-25.279526,6.0021152,60.22335,4.652671,-8.441772,2.140404,-9.768972,-1.8272376,1.5777662,-9.317657,3.7597065,2.632359,-1.3006654,2.8963585,3.6308072,-1.6989229,5.6403036,9.874037,-1.5989734,1.1785381,6.5361924,3.3503966,0.17082514,-2.9230542,-0.1452161,2.9512198,1.269822,-2.843532,3.2535343,3.105586,2.192467,-0.9365887,-0.6288942,-2.6605554,1.7279792,0.80485165,-0.1406025,1.0673103,2.0234234,-0.12380621,2.9301903,-1.024549,2.274776,-5.183881,-0.183079,-0.36465192,0.6797694,-2.0182095,-0.28599948,-0.5059997,1.6633404,-0.47236532,0.43764314,-1.5813105,1.1617928,2.0541043,0.71515703,-0.4678205,-1.453557,0.72967154,0.8877058,-0.5539912,0.22676528,1.4813615,-0.2824756,0.11756027,-1.1839824,0.35950768,0.102613114,-1.0310941,-0.007634691,0.63532495,-0.20396988,0.54510725,-0.14791149,0.8136337,-0.19984314,1.0266306,0.6554891,-0.012723221,0.5778252,0.6164875,-0.41327828,-0.87250936,0.15510203,0.97188425,0.22101766,0.34962338,-0.24928816,0.048446447,-0.044377618,0.032805566,0.69967496,0.59213376,-0.2107512,-0.55500823,0.97274804,0.09002749,-0.44646245,-0.1975463,-0.7281593,2.1004276,0.78465545,0.68531555,0.509256,-0.035612624,-0.36186618,-0.6654718,-0.52698064
3,28.8673,6.010534,4.652671,52.226223,-14.8456545,0.01902384,4.40309,6.688349,-3.0343907,1.2699008,-2.3896613,-1.6823049,1.7390506,-3.4786773,3.9333124,4.1619205,1.7199124,-5.419992,-1.933547,0.4538281,-1.1522659,2.337977,-1.4744318,-0.85047245,2.551825,-0.73592997,-2.8739715,0.8871251,2.905256,0.09876088,3.7154393,0.20560318,-0.5134686,-2.4510427,-2.0286155,-2.5364022,2.4101305,0.9310744,-0.156263,-0.45749956,0.57227594,-2.3939533,1.0729021,0.680201,-2.2596116,0.065679595,-1.6924639,4.0540886,2.0825872,-1.3745635,-0.6764913,-0.93490064,-0.21373194,0.2183289,1.6335287,-0.36349,1.2578309,0.020619959,-1.1329255,3.2843723,-0.37617004,0.17410076,1.0581222,1.3912207,-1.9210432,0.35868144,-0.21578874,1.266943,0.37079573,-0.628252,1.1111541,1.3670442,-0.6792936,0.40822023,0.21389031,-0.65229535,-1.9877203,0.035608336,-1.4506996,0.4861967,0.9175861,0.17311746,-0.14134121,-0.97217774,0.1355934,0.26009637,0.49631745,0.6590645,0.12953717,0.12251355,0.06834856,-0.54029393,0.37424,-0.030912211,-0.6277596,0.1938972,0.4846077,1.0394635,0.15538509,-1.1238565,-0.61442363,0.044233855,0.13123822,0.091140375,-0.014074575,0.16093642,-0.24940124,-0.3477057,-0.53294396
4,9.345845,6.430518,-8.441772,-14.8456545,64.70364,7.489332,2.4643803,11.862191,-2.783646,11.267268,-3.5850956,0.5930462,1.3559556,-0.103572026,-0.94090766,-3.1407027,3.7199745,-3.4349267,-2.8866515,6.110527,2.8364186,-4.2761817,5.5100427,-4.5346127,-0.32458162,-2.1601322,-0.99776626,-0.28922123,-2.9655704,2.2214112,-1.7249985,4.091631,-0.15867005,0.3281926,-0.2693025,-0.6341455,1.9731841,1.1723641,1.5075996,0.3576076,1.2778348,-0.017747907,0.917576,-0.0024995913,2.3052683,1.043388,1.2552001,1.0242422,-1.9061513,0.7426308,1.6334549,1.0584913,1.4684589,-1.5997742,1.2476709,1.753916,1.9952358,0.57569945,0.3757138,-0.8746382,-0.85425323,-0.74649835,-1.3000606,0.39796507,0.121287905,0.9139718,0.5192342,-0.42159075,-0.52988064,-0.45521626,-0.7061616,0.5137889,0.23327374,0.7668668,-0.508856,0.19795617,-0.47610915,0.9532783,0.3362739,-0.17533575,-0.1569709,0.12766066,-0.52147466,-0.03026767,0.7620051,-0.43677163,0.47491223,-0.052558966,-0.0913447,0.55892825,0.08927077,0.39567828,-0.25728953,0.899104,0.14043036,-0.8013299,-0.46915758,0.29661292,0.08353932,0.530935,-0.20898402,-0.26200336,-0.15975969,0.52716064,0.5813914,-0.1858455,0.26740372,0.13845104,0.17660195
5,-26.33377,7.6527925,2.140404,0.01902384,7.489332,29.597404,-11.479908,-0.11424117,-4.137643,-0.6796137,-8.287519,3.677199,-1.6192245,2.464404,1.577219,0.92127687,0.44385278,1.5788014,-2.8691127,-0.8177934,0.62143093,0.076172605,-1.8182707,0.21807823,1.0851468,-2.3633263,-2.952655,-0.6432234,-0.19139525,-0.46946865,1.7827138,-0.2502774,-2.7160883,-1.0617254,0.9779786,1.1954519,1.0810022,1.1966441,-0.55580795,-1.9563056,1.5090892,-0.49578273,-0.9652648,1.7352581,-0.06605193,-0.9449967,2.2887752,0.989769,-0.11436851,0.20931193,0.6593381,1.7908325,-0.5926391,-0.94370425,0.46708554,-0.77996266,-0.4406855,1.1445141,1.2068763,-1.093121,0.05817491,-0.08346434,-0.40076578,1.5700947,-1.7995162,-0.8493839,0.048724864,0.92829424,-0.7154944,-0.046330772,-0.20364383,-0.11714893,-0.12005633,-0.10674196,-0.7587862,-0.105792925,0.2008355,-0.18517736,-1.1498196,-0.19538972,-0.00088758033,-0.24521592,1.0274982,-0.29981124,-0.19513664,0.26473114,-0.20935369,0.7928299,0.8260007,-0.16923258,-0.5760057,0.5504713,-0.15328778,0.44300914,-0.110979706,-0.3942964,-0.6425017,0.6005112,-0.8303338,-0.026541367,0.19241199,-0.090637006,-0.016637813,0.09492776,0.03370675,0.18073004,-0.38693035,0.1272096,0.55805075
6,-2.6680012,13.542017,-9.768972,4.40309,2.4643803,-11.479908,27.43755,-6.0886173,-0.6651554,4.296391,2.2691836,-5.17719,0.9683013,-4.1751556,-2.5902176,1.6755145,-0.5346031,-0.20546098,3.791572,3.531546,0.3272551,2.056985,0.7264655,1.7302572,2.112357,2.962024,0.9690491,0.7638755,-0.027424823,0.8937732,-0.99085623,1.4090266,1.4969357,0.49404266,-3.1062393,-2.384006,0.54118717,-0.45245856,1.3068806,-0.030807089,2.099028,1.4353962,1.4745233,1.3860939,-0.6350348,0.9306506,-1.4447143,0.42809993,0.022909313,0.16910496,-0.187576,-1.421433,0.80262053,0.64011854,0.57847226,-1.078646,0.06929694,1.9855256,0.9215685,0.5527074,0.11057045,0.011862872,0.41982183,0.023531552,0.80628324,-0.057830133,0.6792555,-0.8648801,0.5542186,0.025417794,0.033151746,-0.6211439,0.9461338,0.085552126,-0.4505543,0.9654306,-1.662682,0.31719,0.6346066,0.17253014,-0.26940608,-0.5328481,0.53559756,-0.3458021,0.2761913,0.33772343,0.43927622,0.06435109,0.36620715,-0.34160447,-0.22340284,0.0029798015,-0.5622164,0.5380132,-0.41031408,0.07759713,0.3418526,-0.06872235,0.4136752,0.44953486,0.19147971,-0.060654376,0.0245329,-0.04260897,-0.17633305,0.03221935,0.6090319,-0.03293354,0.3755613
7,3.7095618,-5.9064264,-1.8272376,6.688349,11.862191,-0.11424117,-6.0886173,27.965698,-2.9372568,-4.354004,-1.1529905,5.6708355,-1.0150585,-2.4044313,1.884979,-0.042278636,1.2621505,-0.5082377,-1.7267339,-2.2534091,-1.8346463,2.594397,0.26383585,-2.8154273,1.3791958,1.5504912,0.05270503,-1.0982668,0.3788562,0.14596009,-0.849839,2.829377,-0.874995,-2.0046358,-2.2025197,-0.76206326,0.7453834,0.48183715,-1.7233384,-0.90220475,-3.8277636,0.56326675,-0.28971863,0.05235011,2.5606554,0.2945853,-1.0549245,0.6997107,-0.36822015,1.0532123,0.5460447,0.72305274,0.3318442,0.77353656,1.3120875,-0.61591256,0.17881006,-0.9758768,-1.2316363,-0.25508726,0.60574293,-1.8233163,-0.31994808,0.091550454,0.61447626,0.55687785,0.6564956,-0.67658186,0.18033555,-0.07579277,0.56222606,0.42957613,-0.48339275,-0.09183173,0.6794609,-0.42560714,-1.1243964,0.23966339,-0.62404567,-0.518432,0.20980862,0.22968677,-0.17643094,0.33422422,-0.11850099,0.053614378,-0.086089075,-0.1191058,-0.11289017,0.4911881,0.9427575,-0.10942917,0.36778077,-0.008322498,-0.72403073,-0.2480304,-0.7067682,-0.20893884,0.6469306,-0.18099752,-0.700793,-0.37095264,0.008114941,0.19614778,0.5524761,-0.47025988,-0.05141227,-0.091528356,0.015201308
8,-13.959555,-7.901451,1.5777662,-3.0343907,-2.783646,-4.137643,-0.6651554,-2.9372568,37.206757,-1.5331826,-2.0235548,1.806566,-2.4226222,-2.0241747,1.2860093,-1.434459,1.5007005,-0.27714455,-3.0132847,-0.28169364,0.20609772,-3.129222,1.2721512,-0.06087024,2.8242407,0.7232655,3.0347626,-0.35069293,-1.9951383,-2.239273,-0.10492207,-0.98732114,2.919417,-1.2690223,-0.25095683,0.38709944,-3.838856,0.9954092,1.2529554,0.2830867,0.056101054,-1.061091,0.28950158,1.5481293,0.24291912,-0.9496639,0.7201662,1.0714449,-1.0214956,-0.75722766,-1.7186215,0.047614764,-0.11071992,-0.7447416,-0.28355294,-1.3035245,-0.16606091,0.40427932,-1.3738103,1.036478,-2.2654595,0.6052118,-0.1917394,0.22777313,0.024444116,-1.0129027,-0.03012179,-0.7410496,0.49303386,0.30617687,-0.6214032,0.13564554,-0.048581183,0.7677214,-0.5415307,0.102881126,-0.7379802,0.63240016,-0.4914955,0.60764873,-0.2894768,-0.035717722,-0.41625446,-0.81206787,0.6568413,-0.42782557,0.25622335,-0.21932043,-0.34835985,0.24924193,0.17017573,-0.027870983,0.016946914,-0.009222972,-0.06564212,-0.35824808,0.29630494,-0.6562996,-0.08494127,-0.028493702,-0.6843524,-0.06682177,-0.27174035,0.31926847,0.3092745,-0.47090122,-0.17943603,0.18600267,0.22428888
9,8.575582,6.8300247,-9.317657,1.2699008,11.267268,-0.6796137,4.296391,-4.354004,-1.5331826,17.104837,-4.854889,-0.83573085,-0.59908247,0.6783358,1.789791,2.6196313,0.0570672,-2.969769,2.240305,2.3284419,-0.7732142,1.2993325,3.3722177,3.4517727,-1.1683655,-1.9571843,-0.23917726,-0.79663837,0.025609268,0.34077427,1.7819066,0.658937,0.26048946,2.1244504,0.50359726,0.26684874,-1.5465584,-0.12618749,0.6602987,1.7610478,0.06311414,-0.50805676,1.2216212,-0.021644447,0.7878107,-1.0905344,-0.87546515,2.1548464,-0.5663331,0.031567473,-0.90375257,0.017910458,-0.2867513,-0.10478537,0.28161985,0.7247672,-0.40177143,-0.77190673,0.4011196,0.2958389,0.016521512,0.22568187,0.13101266,-0.59049064,0.041376296,-0.3576998,-0.67679393,0.3926046,-0.38064605,-0.8835925,-0.77030325,-0.42016852,0.74734646,-0.42985767,0.5083071,-0.6432266,0.28707165,0.6173179,-0.24961108,-0.45182562,-0.34014237,0.6459764,-0.6319901,-0.2737779,0.18747473,0.39672467,0.22439775,-1.041079,0.0920482,0.101462126,-0.5242708,-0.2748729,-0.091566056,-0.04555939,0.058319815,-0.07117371,0.2418783,0.30669504,-0.43053722,0.020586308,-0.1587117,-0.11881988,-0.67558897,0.34826267,-0.08109911,0.5842626,0.2002142,-0.02777388,-0.013930813
10,14.644051,-1.6842213,3.7597065,-2.3896613,-3.5850956,-8.287519,2.2691836,-1.1529905,-2.0235548,-4.854889,16.456566,2.8962474,-3.0110104,2.881762,-0.9826803,2.1593444,-1.5931845,-3.177175,2.573892,0.5134063,1.7338171,0.10232502,1.6526291,-1.2277443,-0.045009926,-0.616192,1.0934912,0.33923113,0.78445125,-0.5249205,-0.9375432,1.0520865,-0.8856994,-0.101254284,0.6427798,-1.5600007,-0.47388408,0.27669412,-0.62467486,0.8366317,0.2100189,-0.15046363,-0.8321052,-1.4647214,-0.9014324,2.0673463,0.6734547,-2.0864944,-0.30285734,-0.4966734,-0.14944243,0.19645604,0.4611136,0.66828346,0.8379257,-0.35920262,0.79424024,0.7710278,-0.12485129,0.42957222,-0.15514019,0.06333609,-0.15577374,0.12064616,-0.24554008,-0.38802862,0.48149747,0.9666568,0.57169235,0.9286663,0.016484823,0.142678,0.5264646,-0.6470672,0.03241334,0.26526916,0.09084689,0.055127762,0.8141074,0.5587005,0.30118266,-0.57556635,0.023629706,0.26238328,0.15703575,-1.0860988,-0.15843141,0.20624438,0.124808505,0.17109302,0.2590195,0.8842761,-0.16885939,-0.528587,-0.19765258,-0.1976029,0.044002846,-0.47877818,-0.30071518,0.13341469,0.108530894,0.21783653,0.72752,-0.116930515,0.39306068,-0.2183426,0.072499216,-0.028834626,-0.07223279
11,-14.010432,2.9912696,2.632359,-1.6823049,0.5930462,3.677199,-5.17719,5.6708355,1.806566,-0.83573085,2.8962474,20.591969,-3.3156676,2.5672903,3.739205,1.3839363,-0.5869595,-0.59530014,2.1484652,-0.8518379,-0.6903101,-2.3104749,-0.018692126,-0.44168782,1.7684603,-1.0457194,-0.73085123,1.6619551,1.9427044,1.2980729,2.1377306,2.254055,-1.2484515,-0.8664262,1.9837474,0.53265035,-1.2744603,-0.5423858,0.38060468,1.2887769,0.39029682,1.70753,0.15929593,1.6442585,-0.07605456,0.22835644,-0.9001577,0.5047699,-0.26074487,0.032026574,-0.43050927,0.8660442,-0.016999114,0.590442,1.1578362,-1.0032561,0.043172397,0.7799722,-0.39637744,-1.1072931,0.26341683,0.10301182,1.0317405,-1.3888555,0.7378684,0.8074037,0.7405158,0.5434716,-0.16420162,0.48457658,0.102025636,-0.073346645,-0.18253434,-1.1098187,-0.021974042,0.25471783,-0.39142716,-0.31459177,-0.20127764,0.6226636,-0.14661293,0.052502096,-0.1003675,0.1478647,0.82989234,-0.36503017,0.41511017,-0.30364972,-0.1965725,0.3584136,0.35102087,-0.35666057,0.15112713,-0.079499245,0.024835587,-0.3407677,0.67253256,-0.2480899,-0.5548341,-0.41196752,0.35807538,0.055614598,-0.45524138,0.22652048,0.09875259,-0.09987761,0.14372694,-0.14106457,-0.1782651
12,3.2832317,10.297031,-1.3006654,1.7390506,1.3559556,-1.6192245,0.9683013,-1.0150585,-2.4226222,-0.59908247,-3.0110104,-3.3156676,21.200464,-3.90688,0.7858655,-0.56535494,0.76661515,1.4083407,-1.3281597,2.949639,0.94943017,-2.6710782,-0.2529768,-2.317658,-4.2310343,-0.7877619,1.3657596,-0.83683527,0.07928365,-1.6914616,-2.0824122,-1.0154549,0.5751078,1.2488326,2.1602054,1.0791345,-0.6316937,1.5657395,0.79547846,0.78258234,-1.6676977,1.2441587,1.195803,0.6418866,-2.1967366,-0.2573147,-0.8204348,-0.6649245,0.054285847,0.6859564,0.16078587,1.0172431,-0.8698559,0.68753886,-0.6959275,0.22079575,0.38698217,-0.16555801,-0.8179945,-0.17130464,-0.03870424,0.12012156,0.7135172,0.057313666,0.6916027,0.46614248,-0.3198781,0.6293687,-0.16141228,0.30298093,0.88494277,-0.11751452,-0.45534655,-0.3600849,-0.6638751,-0.18085405,-0.663851,-0.23580812,-0.6481637,-0.32751873,0.31630465,-0.5040872,0.8292812,-0.15288672,0.049460955,0.25785542,-0.08132535,0.07986266,0.04633166,0.19334477,0.09578341,-0.42105547,0.46165252,0.015662754,-0.23834856,0.2995869,-0.25030342,0.08659415,-0.017965643,-0.5831995,-0.40420222,0.12081242,0.06948474,-0.009364937,-0.21242946,-0.49034315,-0.17106828,-0.10443203,0.04663029
