,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,601.2516,-93.071686,-10.007732,-30.562168,-12.103407,-26.860758,-3.3683991,1.8141874,-3.9113548,9.076667,-1.6621219,-0.1201002,1.9176548,1.1746783,1.1123872,1.4755694,-1.476785,-0.67208374,-0.27774787,1.5708705,0.030595548,-1.0437262,1.807791,1.0312052,-0.2264306,1.3707844,0.6196065,-0.24413097,-1.1294394,-2.791128,-0.72792757,-0.54198444,-0.24448097,-0.949981,-0.38688612,-0.106466085,0.4197788,-1.1885462,-0.099963695,-0.4911807,-0.33642268,0.29595482,-0.06030093,-3.7939216e-07,-4.3842175e-07,2.0457662e-07
1,-93.071686,44.824203,-37.23304,-13.300293,4.0191536,-0.3382854,-1.7319347,-2.11759,-6.6654167,0.28719372,3.938365,0.15669775,1.5634866,4.2308216,-0.5171987,0.41762257,2.3925781,-3.361939,-0.4878816,-0.4745185,-2.7866344,-3.4667683,2.784036,0.2680393,-3.1363378,-1.447854,2.0706315,-1.7626978,4.093279,-1.9143233,-0.91728425,-0.13492337,0.67473704,0.6735907,0.1511068,-1.5040188,-0.31044465,-1.0082923,-0.39352757,-0.38374326,0.09180562,-0.33159626,-0.8601247,-2.3269867e-07,-1.8535907e-07,-4.0864425e-08
2,-10.007732,-37.23304,132.48029,29.762417,-6.7600436,0.38310233,-6.5301876,5.9486685,2.8834383,-3.4990902,4.0185814,8.639,-1.8369658,2.8026993,0.37648162,-2.1644104,0.75448364,-4.376866,-0.94976425,-0.24232936,2.1446645,-1.8375304,-0.041450776,-0.6766758,-1.1334734,-1.155592,-0.5535285,-1.4675268,0.5405755,-2.2707186,0.11528987,0.086610995,-0.119692415,-0.43797982,0.5275205,-0.0068658753,-0.105651185,-0.49727672,-0.15704623,0.26357514,0.014961307,-0.121630356,-0.26267457,-1.0473143e-07,4.715949e-07,-1.2149219e-07
3,-30.562168,-13.300293,29.762417,35.226444,0.5680119,-8.310113,1.9049168,-13.893499,-4.7365003,3.1288457,-2.7427053,-4.1821165,2.5520887,-4.528261,-0.37299448,-3.6765573,-3.257256,1.1704252,2.9604049,2.4630299,-0.2618459,3.2085447,0.42202634,0.5176734,1.159522,2.2225533,2.293171,-0.790309,-2.1042528,1.3160815,0.8378347,1.6749622,0.13419458,-0.82001716,-0.80190134,0.02341162,0.580873,0.6067616,0.5157788,0.6296445,-0.29088888,0.42382967,0.5683617,8.4097394e-08,8.2243766e-08,6.4070754e-08
4,-12.103407,4.0191536,-6.7600436,0.5680119,40.184258,-7.842045,-2.9400854,3.783739,3.1301117,-1.4508168,-6.057167,4.14106,7.848433,3.3553333,-0.015339879,-4.4900475,0.2854247,-0.4934246,-0.87320614,2.273244,3.0496347,-2.2652135,2.367096,-2.626508,-1.8019173,3.8008642,1.4748588,1.1936533,-2.623794,-0.8412684,-1.1886268,-1.8833154,-0.8698808,-1.3176945,-0.019328577,0.90775883,0.23740384,-0.8645448,2.0399957,-1.1554499,-0.9330753,1.943314,1.445591,-4.2431355e-07,3.467132e-07,4.5736383e-07
5,-26.860758,-0.3382854,0.38310233,-8.310113,-7.842045,29.126781,-5.6051993,7.0299206,2.7545125,5.794195,-3.267523,-0.266729,-2.5807428,-3.0418634,1.345694,5.869937,1.6727653,0.9250462,-0.17969657,3.297566,4.7541733,0.023416286,0.28099984,3.3695629,2.1190138,-1.7411199,-2.868431,0.23188493,-2.9857135,-2.2713685,-0.26269886,0.37762326,-1.2392341,-1.3765662,1.5352026,-0.8898467,-0.48496428,-0.51493466,-0.31944436,0.25731558,0.10485576,-0.70778656,-0.16436939,4.6630788e-08,-8.7179274e-08,-2.8638834e-07
6,-3.3683991,-1.7319347,-6.5301876,1.9049168,-2.9400854,-5.6051993,20.192665,2.0215173,2.2794666,-3.1552439,4.341563,2.8022094,2.94841,0.73810387,-3.033213,2.9880753,-5.727845,-2.0030942,1.5766797,1.6040378,-0.60967046,4.412225,2.0230742,-1.4511492,1.543185,1.0088199,-1.3103051,-0.5308234,0.5196463,3.5674784,0.08858013,-0.024323966,-0.070230275,-0.23934814,1.6018629,0.20480558,1.7491931,0.82608616,-0.16015387,-0.027919456,0.49148226,-0.72064006,-0.46402824,1.1450733e-07,-2.1267287e-08,1.7680169e-07
7,1.8141874,-2.11759,5.9486685,-13.893499,3.783739,7.0299206,2.0215173,24.01755,-0.48119998,-10.761635,0.5965569,2.296906,-2.2112498,-1.1985519,-2.2417083,1.2030792,1.6362923,-2.0158887,-3.0928397,1.2580669,1.3982103,2.169564,-0.48245087,1.4683313,-1.006973,1.8475516,-0.18468796,0.7442002,-1.1539047,-0.16342548,-0.6305469,-0.7406262,0.54536796,0.16521871,-0.17413723,0.46454865,0.24969874,-0.52961326,-0.24994698,-0.34467438,-0.41382575,-0.20329762,-0.7061958,-5.3571036e-08,1.3624049e-07,-2.4990584e-07
8,-3.9113548,-6.6654167,2.8834383,-4.7365003,3.1301117,2.7545125,2.2794666,-0.48119998,28.353632,2.2516735,-2.196597,2.0896137,-1.0367187,-1.8354666,2.8304489,0.15813491,-1.7367529,1.1472598,-1.5398049,0.6281022,-2.6986327,-0.3632418,0.5722245,-1.8688769,-0.24240145,-0.20166656,-0.31025624,1.8145345,0.2440245,0.6973526,-0.66565216,-0.15618406,1.4538558,0.58336806,-0.1605487,-0.14962569,0.045279693,-0.3625819,-0.19651276,0.15298244,0.67465854,-0.5154069,0.09561563,1.01545545e-07,-6.8910007e-09,2.9995124e-07
9,9.076667,0.28719372,-3.4990902,3.1288457,-1.4508168,5.794195,-3.1552439,-10.761635,2.2516735,11.642742,-2.6654944,0.45980635,1.8054254,0.7902464,2.7906213,1.4873027,2.4070015,-0.9071325,-0.34470618,0.4049656,0.8613147,-0.34987706,1.9604874,0.07620557,0.737373,-0.6707738,0.110949114,-1.137821,-0.64408064,0.011535432,-0.109379925,1.14591,-1.1913717,-1.2677177,1.0951954,-1.0436516,-0.2975013,-0.2494095,0.2451312,-0.35567525,0.6360775,-0.45494395,-0.19685102,-3.51125e-08,-2.3442766e-07,-4.7978315e-09
10,-1.6621219,3.938365,4.0185814,-2.7427053,-6.057167,-3.267523,4.341563,0.5965569,-2.196597,-2.6654944,10.96809,0.1026506,-2.146882,0.8985764,-2.011262,2.662351,0.7774692,-1.5336208,0.23273271,1.0686975,-1.1590847,-1.2247162,2.3492336,-3.6119704,2.9207869,-1.6925299,0.6237457,-0.09359414,1.3726268,-0.99318224,-1.1401551,0.45279235,-0.3606546,0.9982299,-0.8390727,0.29579946,0.27626497,-0.005029279,-0.051944263,0.19218218,-0.06229984,0.275016,0.43448615,2.3734177e-08,4.3793698e-08,-5.8362197e-08
11,-0.1201002,0.15669775,8.639,-4.1821165,4.14106,-0.266729,2.8022094,2.296906,2.0896137,0.45980635,0.1026506,9.491815,2.7728443,2.534719,0.95732987,1.1482023,1.4105129,-1.2059292,2.0588336,-3.8601732,1.4195862,-1.3418698,1.9275779,0.6392391,-0.08417022,-0.440215,-0.3988685,0.13732985,0.28500843,1.9638405,-0.67352915,-1.8227673,-1.4102864,0.42163706,0.10600433,-0.66413176,0.8084854,-0.23367077,-0.2417748,-0.18061934,-0.49727,-0.608351,-0.5826737,-9.627127e-08,-1.2034005e-07,9.13106e-08
12,1.9176548,1.5634866,-1.8369658,2.5520887,7.848433,-2.5807428,2.94841,-2.2112498,-1.0367187,1.8054254,-2.146882,2.7728443,11.082802,2.7348185,-0.05538675,-2.1018543,-0.32237315,1.3635807,0.12410715,2.4596949,2.9105582,-0.22450688,0.9749009,0.5039322,0.4286474,1.0058575,-1.308372,-0.8426924,0.9553274,-0.50473386,-0.81410843,0.58123666,0.06315213,0.4039294,-0.56848294,0.9849733,0.94446737,-0.31752175,-0.7848557,0.79780054,0.005949957,-1.4263172,-0.83226776,-1.3361122e-07,-2.7655938e-07,2.0007278e-07
13,1.1746783,4.2308216,2.8026993,-4.528261,3.3553333,-3.0418634,0.73810387,-1.1985519,-1.8354666,0.7902464,0.8985764,2.534719,2.7348185,11.853436,4.1003904,-0.19214222,1.2658474,-3.0202494,-1.2181826,2.4187164,0.072813556,0.20206544,-1.5267936,-0.3248728,0.19845282,-1.8680742,-1.2714216,-0.24124044,1.2234831,0.55722415,0.98051256,-1.1252451,0.35878548,0.9197738,1.2259502,0.12890892,-0.62385476,0.5176451,-0.22200856,0.24562761,-0.05563937,0.6827626,0.26804137,-1.4395654e-07,2.3385203e-07,2.9013773e-07
14,1.1123872,-0.5171987,0.37648162,-0.37299448,-0.015339879,1.345694,-3.033213,-2.2417083,2.8304489,2.7906213,-2.011262,0.95732987,-0.05538675,4.1003904,4.915482,-0.5268793,2.8545582,-0.6955501,-0.4292698,0.6335702,-0.4926353,1.6213641,-0.5928072,1.2763793,0.73386014,-0.77482486,0.9086591,1.0601337,-0.16757372,0.37735474,0.61729896,-0.6364577,0.35973215,0.7553851,-0.13778798,-0.7551971,-0.24009433,0.7718084,-0.1718669,0.43815583,-0.62143105,0.048307206,0.15524837,2.5086354e-08,1.287245e-08,7.9746556e-08
15,1.4755694,0.41762257,-2.1644104,-3.6765573,-4.4900475,5.869937,2.9880753,1.2030792,0.15813491,1.4873027,2.662351,1.1482023,-2.1018543,-0.19214222,-0.5268793,5.403531,-1.0048267,-1.027981,0.4607922,1.2560763,1.6672769,-1.6105479,0.33926195,-0.8215761,1.8059385,-0.4090443,0.8277628,-1.0497284,-0.63496363,0.9043886,0.69900715,-1.0303857,0.01417733,-0.88424003,0.46990067,-1.0467894,0.090774566,-0.20715341,0.049917504,0.058553338,0.031329565,-0.40508568,0.23015805,5.448201e-09,6.669771e-08,-6.520423e-08
16,-1.476785,2.3925781,0.75448364,-3.257256,0.2854247,1.6727653,-5.727845,1.6362923,-1.7367529,2.4070015,0.7774692,1.4105129,-0.32237315,1.2658474,2.8545582,-1.0048267,11.655022,-0.7087748,0.32728797,-1.7306689,-1.1828372,1.9216341,-0.17191987,-2.1849718,1.5135372,0.95187575,0.25589815,-0.41227525,-0.9135915,-0.0919777,-1.2933571,0.23841956,0.49984545,-0.68979084,-1.0167282,0.24730282,-0.29188702,0.15877354,-0.6209993,-0.24493237,-0.18123391,-0.2903219,-0.72660404,9.737434e-09,-2.531848e-07,-3.1113314e-07
17,-0.67208374,-3.361939,-4.376866,1.1704252,-0.4934246,0.9250462,-2.0030942,-2.0158887,1.1472598,-0.9071325,-1.5336208,-1.2059292,1.3635807,-3.0202494,-0.6955501,-1.027981,-0.7087748,7.2149115,0.2399722,-1.6041965,1.8118235,0.64070004,-1.1775392,-1.8417823,0.01788349,-1.2047318,-1.1930707,-0.75779605,-1.0559139,-1.338505,0.66788757,-1.2439888,-0.15898816,1.1486955,-0.91435504,0.42818055,0.858248,0.17772818,-0.19498661,1.0366719,-0.39701045,-0.13255528,-0.07900164,1.3853912e-07,-1.7120192e-07,-4.379171e-09
18,-0.27774787,-0.4878816,-0.94976425,2.9604049,-0.87320614,-0.17969657,1.5766797,-3.0928397,-1.5398049,-0.34470618,0.23273271,2.0588336,0.12410715,-1.2181826,-0.4292698,0.4607922,0.32728797,0.2399722,11.603267,0.27100307,-1.1208013,-0.27374786,0.102808915,0.5409919,0.47954798,0.11714993,-0.524793,1.5288577,-0.6910207,-0.8044623,-0.80679095,-2.051258,0.6435736,-0.66737753,0.6151725,0.30084327,-0.26836577,-0.8768759,-1.4382899,-0.038684405,-0.25521463,0.21617204,0.17247444,-7.619353e-08,-6.8589614e-08,1.7657518e-08
19,1.5708705,-0.4745185,-0.24232936,2.4630299,2.273244,3.297566,1.6040378,1.2580669,0.6281022,0.4049656,1.0686975,-3.8601732,2.4596949,2.4187164,0.6335702,1.2560763,-1.7306689,-1.6041965,0.27100307,10.2332115,-0.24619716,0.42788702,-0.8817378,0.06463216,0.32410944,-0.78594625,1.048625,-0.42446238,-1.2526016,-1.2762253,-0.7590082,0.6472802,0.430968,-0.7263588,-0.48446402,0.09288953,0.44934714,-0.54056716,-0.9760879,0.46706063,-0.18554315,0.23221105,0.4253912,-1.396024e-07,1.8239369e-07,1.1809196e-07
20,0.030595548,-2.7866344,2.1446645,-0.2618459,3.0496347,4.7541733,-0.60967046,1.3982103,-2.6986327,0.8613147,-1.1590847,1.4195862,2.9105582,0.072813556,-0.4926353,1.6672769,-1.1828372,1.8118235,-1.1208013,-0.24619716,6.9418516,-0.021619778,0.45788676,-0.35216773,1.5959146,-0.17025551,0.0054095797,1.2320101,0.41253155,-0.10758316,1.9014277,-0.6343055,-0.3031689,-0.48432922,-0.779873,0.039511554,-0.09087889,-0.3002365,0.19944888,-0.34874487,0.8432772,-0.23984347,-0.13482884,7.7077715e-08,-9.76739e-08,-7.5274926e-08
21,-1.0437262,-3.4667683,-1.8375304,3.2085447,-2.2652135,0.023416286,4.412225,2.169564,-0.3632418,-0.34987706,-1.2247162,-1.3418698,-0.22450688,0.20206544,1.6213641,-1.6105479,1.9216341,0.64070004,-0.27374786,0.42788702,-0.021619778,9.288959,1.204797,-0.6490027,-0.46738657,0.41942078,-0.3638577,0.97519296,-0.34436738,0.012994302,1.2661936,0.34553865,-0.3546125,0.5179231,0.50171196,-0.7891103,0.336131,0.17909637,-0.5839758,-0.30975735,0.14831239,0.24482179,-0.31386137,1.03369544e-07,-7.8227416e-08,-6.891696e-08
22,1.807791,2.784036,-0.041450776,0.42202634,2.367096,0.28099984,2.0230742,-0.48245087,0.5722245,1.9604874,2.3492336,1.9275779,0.9749009,-1.5267936,-0.5928072,0.33926195,-0.17191987,-1.1775392,0.102808915,-0.8817378,0.45788676,1.204797,7.3792973,0.86394113,0.30080134,-0.7242203,0.16547173,-0.56831396,-0.31551716,-1.1413909,-0.1635927,0.51444495,0.8084042,0.73463345,-0.33073604,-0.2831474,-0.038453326,-0.24203467,0.67396176,-0.94519377,-0.35744798,0.22560677,0.026390038,-5.5449412e-08,-1.3695956e-07,4.1113687e-08
23,1.0312052,0.2680393,-0.6766758,0.5176734,-2.626508,3.3695629,-1.4511492,1.4683313,-1.8688769,0.07620557,-3.6119704,0.6392391,0.5039322,-0.3248728,1.2763793,-0.8215761,-2.1849718,-1.8417823,0.5409919,0.06463216,-0.35216773,-0.6490027,0.86394113,6.567516,-0.46500057,-0.16883606,-0.16570066,0.98299974,-0.114529885,0.7818601,-0.2535386,0.6497282,0.5878615,0.7303256,-0.24438058,-0.2314344,-0.2073973,0.38004088,0.10496867,0.31317598,-0.52837086,-0.07982032,-0.4649485,-2.143194e-08,-5.0346657e-08,3.496853e-08
24,-0.2264306,-3.1363378,-1.1334734,1.159522,-1.8019173,2.1190138,1.543185,-1.006973,-0.24240145,0.737373,2.9207869,-0.08417022,0.4286474,0.19845282,0.73386014,1.8059385,1.5135372,0.01788349,0.47954798,0.32410944,1.5959146,-0.46738657,0.30080134,-0.46500057,5.3667006,1.3221164,-0.27761114,1.2117524,-0.4314802,0.5238941,-0.28755814,0.41193786,0.40655208,0.6272834,-0.31990007,0.52009875,-0.40683216,0.5320692,0.7045745,1.1790059,-0.07085745,0.079165235,0.33732933,7.567365e-08,-2.5104164e-08,-1.0675031e-08
25,1.3707844,-1.447854,-1.155592,2.2225533,3.8008642,-1.7411199,1.0088199,1.8475516,-0.20166656,-0.6707738,-1.6925299,-0.440215,1.0058575,-1.8680742,-0.77482486,-0.4090443,0.95187575,-1.2047318,0.11714993,-0.78594625,-0.17025551,0.41942078,-0.7242203,-0.16883606,1.3221164,5.0982018,0.24107596,-0.1116771,0.4569593,0.2080023,-0.15943682,0.5654218,0.60579,-0.6218746,0.7552649,-0.6855356,-0.7006458,-0.71070635,0.4284938,0.79401624,-0.23106188,-0.56237036,0.322069,-1.6779443e-07,1.3287809e-07,3.9217966e-08
26,0.6196065,2.0706315,-0.5535285,2.293171,1.4748588,-2.868431,-1.3103051,-0.18468796,-0.31025624,0.110949114,0.6237457,-0.3988685,-1.308372,-1.2714216,0.9086591,0.8277628,0.25589815,-1.1930707,-0.524793,1.048625,0.0054095797,-0.3638577,0.16547173,-0.16570066,-0.27761114,0.24107596,6.826051,0.86043644,-0.38427776,0.13624497,0.5508213,-0.8568808,-0.23326439,0.7105237,-0.089964174,-0.226872,0.2184641,0.014069257,0.1982111,-0.1562874,0.24539587,-0.7022035,-0.59863764,1.468758e-07,-2.5460338e-07,-2.3959095e-07
27,-0.24413097,-1.7626978,-1.4675268,-0.790309,1.1936533,0.23188493,-0.5308234,0.7442002,1.8145345,-1.137821,-0.09359414,0.13732985,-0.8426924,-0.24124044,1.0601337,-1.0497284,-0.41227525,-0.75779605,1.5288577,-0.42446238,1.2320101,0.97519296,-0.56831396,0.98299974,1.2117524,-0.1116771,0.86043644,4.8111787,1.3753405,-0.3409611,-0.22495915,0.22239095,-0.8745508,-0.07809717,-0.39275968,0.35003835,-0.037011568,0.6462287,0.11464359,-0.3625167,0.54469275,0.3978794,0.13004379,1.6416298e-07,-4.966426e-08,-5.0562033e-08
