,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,89.523445,110.791824,12.190547,36.491226,13.847367,32.092697,3.320377,-1.5859156,4.1993012,-10.022396,1.5884085,0.3895242,-2.139757,-1.5782189,-1.7089312,-1.7048254,2.1601868,1.3054584,0.44914448,-1.2897499,-0.54594886,1.0762162,-1.8228103,-1.1523533,0.19728251,-1.4445542,-0.7663373,0.20070651,1.6348748,3.3744023,0.8844499,0.33917618,0.3191455,1.2659831,0.59251606,0.30750698,-0.10324,1.4336815,0.078723475,0.7950204,0.702508,-0.29657376,0.64406997,-4.3961808e-07,5.5054787e-08,5.344993e-08
1,110.791824,215.78413,44.31135,15.82158,-4.7766256,0.39638203,2.098899,2.5244634,7.9535465,-0.36377555,-4.688808,-0.176736,-1.8711812,-5.0349455,0.62544084,-0.4968022,-2.8607893,3.983014,0.5599246,0.5259228,3.3360128,4.1429954,-3.3220077,-0.31110322,3.728077,1.714844,-2.445502,2.1130168,-4.8678455,2.3031032,1.1002913,0.17049375,-0.7921777,-0.8011905,-0.18564016,1.7833991,0.36161637,1.2020822,0.4751609,0.4459672,-0.09954483,0.3953628,0.9951476,-2.648822e-07,-1.1977357e-07,6.791433e-08
2,12.190547,44.31135,37.384064,-35.34874,8.497412,-0.4239012,8.076565,-7.6886473,-3.23742,3.6234725,-4.424398,-10.593849,2.1552908,-3.207635,-0.20566598,2.5442045,-1.1760025,4.956456,1.257901,0.11539762,-2.2973814,2.1856682,-0.19415921,0.70464045,1.4243598,1.2776555,0.5595726,1.669128,-0.95084405,2.4174924,-0.22374624,0.05634222,0.07945591,0.4012888,-0.68815446,-0.15174551,-0.16800913,0.54834366,0.20501533,-0.39833075,-0.38069937,0.068708256,0.05204644,-1.7654935e-07,1.2847818e-07,4.081151e-08
3,36.491226,15.82158,-35.34874,76.96647,-0.698786,9.991129,-2.496341,16.474821,5.4843025,-3.6062093,3.276876,4.9043655,-2.963767,5.3660746,0.37453973,4.390951,3.9350562,-1.2433786,-3.3474207,-2.6782708,0.17163345,-3.9330707,-0.4685115,-0.64648306,-1.3681539,-2.5964706,-2.821471,0.8208069,2.4657826,-1.7581077,-1.0510446,-2.0679355,-0.18966003,0.9781376,0.9968222,-0.02822354,-0.6512931,-0.7431835,-0.6348077,-0.6783286,0.26713818,-0.5236475,-0.50486505,-5.5616894e-08,-1.5298386e-07,4.669161e-08
4,13.847367,-4.7766256,8.497412,-0.698786,44.30714,9.41548,2.3177495,-3.2034883,-4.460286,3.1737661,6.3526483,-4.274756,-9.110357,-4.351442,-0.7372714,5.3781977,0.50174963,1.4256122,1.0040779,-1.8034179,-4.5152845,2.537657,-2.1220372,3.3755517,1.9408946,-4.192919,-1.6765072,-1.436141,3.8045492,1.4056666,1.5312843,1.6166885,1.1259811,1.8353796,0.22632436,-0.6700212,0.52725536,1.0809429,-2.437698,1.7479948,1.9395634,-2.190967,-0.71002936,7.2287456e-08,1.0099435e-08,1.3893191e-08
5,32.092697,0.39638203,-0.4239012,9.991129,9.41548,52.337013,6.588928,-8.477207,-3.3394208,-6.8986998,3.9493327,0.22189128,3.1088629,3.6248245,-1.6023629,-6.974368,-2.0068963,-1.042004,0.3388008,-3.8059099,-5.7014294,-0.097928375,-0.35605696,-4.05013,-2.5006151,2.0864787,3.3498683,-0.3589302,3.4878201,2.5381885,0.27075845,-0.45557743,1.4511113,1.6265421,-1.8096297,1.0316164,0.55468553,0.5964111,0.36173713,-0.28504163,-0.23588082,0.8232618,0.24534214,-7.346375e-07,4.6659966e-07,6.0399405e-09
6,3.320377,2.098899,8.076565,-2.496341,2.3177495,6.588928,35.366642,-1.0090909,-3.1609378,4.9824486,-6.0173397,-2.5858183,-3.4206266,-1.184776,3.0200663,-3.5184817,7.5053577,2.9543772,-2.2017603,-1.4989045,0.1242031,-5.2223873,-1.8133962,2.0004516,-2.0402107,-0.97132814,1.8051553,0.8226948,0.10769495,-3.5436714,0.1007478,-0.40007693,0.23255432,0.5537257,-1.7776034,0.1409426,-1.3805215,-0.8915465,0.1886612,0.25043768,0.31979817,1.0204504,1.1892893,-3.636162e-07,2.8853577e-07,1.3131438e-07
7,-1.5859156,2.5244634,-7.6886473,16.474821,-3.2034883,-8.477207,-1.0090909,21.28968,1.4861114,10.921375,0.31968266,-3.4621925,2.3926659,1.8502598,3.523374,-1.5795214,-2.872284,1.3079553,3.6601105,-2.5753949,-0.5992364,-2.3211818,-0.20489734,-1.947639,1.3699372,-2.6033902,0.15426764,-0.8500389,0.5571459,-0.20516557,0.61475545,1.4820194,-0.7553489,-0.55851895,-0.07196444,-1.0279365,-1.2465951,0.5366329,0.42571008,0.015835283,-0.36583298,0.046192992,-0.30851132,-2.1022642e-07,-2.2806637e-07,-1.875907e-07
8,4.1993012,7.9535465,-3.23742,5.4843025,-4.460286,-3.3394208,-3.1609378,1.4861114,5.96789,-1.8784869,2.0618663,-1.9938631,1.2781961,1.991371,-3.7415462,-0.15629289,2.5008845,-1.0069215,1.6113479,-0.50571096,2.8324962,0.45487466,-0.30212462,2.3938441,0.16503832,0.38614058,0.52823836,-2.0244622,0.18391477,-0.35219902,0.9289908,-0.07290387,-1.6345395,-0.51738405,0.27494648,0.4300754,0.3973956,0.49765006,0.22355402,-0.04864619,-0.2182492,0.72738445,0.28572583,1.6780004e-07,-5.8820348e-08,9.526573e-09
9,-10.022396,-0.36377555,3.6234725,-3.6062093,3.1737661,-6.8986998,4.9824486,10.921375,-1.8784869,21.601482,4.323385,-1.4706956,-2.3256097,-0.50111216,-2.4716573,-1.8975666,-3.8206701,0.09906305,0.62729347,-1.3108909,-0.049079463,0.5402569,-3.1553519,-0.36925542,-0.66313326,0.42673293,-0.34089205,1.2282099,-0.18200627,-0.74276817,-0.08705428,-0.7858322,1.2556531,1.1164116,-1.5466998,0.71708006,-0.63923424,0.17314827,-0.19498861,0.07267368,-1.8365443,0.3069306,-0.7947725,-1.01407096e-07,-2.5057503e-07,-2.1130055e-07
10,1.5884085,-4.688808,-4.424398,3.276876,6.3526483,3.9493327,-6.0173397,0.31968266,2.0618663,4.323385,22.382952,0.3578215,2.7012658,-1.3327174,1.8607334,-3.094921,-0.34079275,2.4751656,-0.2930153,-0.63128805,0.72942376,1.3175709,-2.304038,4.4431086,-3.595276,2.2605438,-0.68705523,0.10789447,-1.1181517,1.4797256,1.4476608,-0.9274281,0.5002352,-0.96763444,1.1636711,-0.050730176,0.264968,0.06317515,0.0012048243,0.020475559,0.6446153,-0.20811352,0.19300511,1.728744e-07,1.5247446e-07,6.319178e-08
11,0.3895242,-0.176736,-10.593849,4.9043655,-4.274756,0.22189128,-2.5858183,-3.4621925,-1.9938631,-1.4706956,0.3578215,21.422373,-3.4449255,-2.8098164,-0.7061345,-1.427679,-2.1467605,0.88065004,-2.526328,3.9918404,-1.1322305,1.759196,-2.6819324,-0.8522905,0.18052927,0.3151775,0.483176,-0.103925854,-0.7054117,-2.4784818,0.76280963,2.4985404,1.6429391,-0.66733205,-0.2705735,0.5613556,-1.4287138,0.24470979,0.34345388,-0.011131758,0.2001124,0.64260375,0.070579365,1.1066494e-07,-1.8544344e-07,-5.709864e-08
12,-2.139757,-1.8711812,2.1552908,-2.963767,-9.110357,3.1088629,-3.4206266,2.3926659,1.2781961,-2.3256097,2.7012658,-3.4449255,17.02477,-3.2063737,0.1581965,2.5100155,0.26435918,-1.6864992,-0.056324676,-2.9567788,-3.3914793,0.23585486,-1.2633231,-0.6587073,-0.46944535,-1.22731,1.4990647,0.9491119,-1.2656634,0.44448274,0.9263635,-0.6193864,-0.10134946,-0.5220738,0.66662526,-1.2436959,-1.2390234,0.36303946,0.9237993,-0.9792886,-0.18671787,1.671668,0.90968156,-3.9417266e-08,1.6405227e-07,4.444536e-08
