,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0,239.96579,-34.394012,-4.981409,14.637573,6.915215,-10.365899,12.288727,-27.258942,-5.836562,0.46144837,-12.024395,2.8789527,-0.47316357,-0.88165087,17.885899,0.61881685,2.0206623,-7.4603124,2.0323296,8.965462,-3.1072617,1.4070578,-2.2083664,-3.3507648,11.155962,1.6097041,1.8996763,-1.554107,-7.403146,1.0326864,-2.1321661,-0.67312664,-0.77378845,-7.2429066,-0.29201263,3.8912487,4.703964,2.8104906,-3.337775,-0.6258787,3.690371,-0.5661604,3.465177,0.6662639,-0.992444,-2.9476528,3.6721458,2.8152237,0.63955325,0.75374734,-1.0327775,-4.6806912,3.8761778,0.0692637,2.452372,-0.9328098,0.44123095,2.517256,-3.425201,1.1592503,-1.7941124,3.8101456,-0.64362866,1.2347068,1.9642344,1.3048,-1.3914459,0.06719709,-0.5867401,1.5754148,1.7566409,0.45389158,1.5818421,-1.7758499,-0.19409338,2.025907,0.043742847,2.2896793,1.3070353,0.5856724,1.7263932,-1.1171229,2.571672,1.1302596,-0.55932724,-0.43278855,0.54604256,0.70650935,-0.627828,-0.7551437,-0.1313985,0.22697604,-0.7288219,0.5040683,0.22262257,-1.7951753,-0.5646652,-0.17548633,-0.0843599,1.0963452,-0.64259136,-0.13233158,0.51221013,0.42179543,-0.2513938,-0.24265778,0.47027546,-0.06838846,-0.9553553,0.35404077,-0.97483087
1,-34.394012,81.691246,-0.48909947,-7.766572,-7.4111524,1.1162806,-6.6522126,-4.709487,6.8200245,-9.466076,1.3413494,-0.48776326,6.6192207,-0.052395646,-2.0346246,0.9616127,-3.9463463,3.26755,5.2347193,-1.4333203,5.4263763,6.6841507,-2.6150613,-1.3678743,-5.5614576,2.297693,-5.0316834,-2.1678042,-1.8176898,-1.5256498,-0.3157365,-3.135422,-2.3163474,4.0506907,-2.6370914,2.333309,1.1737301,0.94480324,-0.25198466,1.0058169,-0.23375772,0.5420677,0.78027403,0.09251978,0.30252168,-0.4241157,0.13062091,0.99066746,-0.2966658,1.4870892,-1.0867745,1.1261306,1.0165267,-0.7690225,-1.1942862,-0.14165805,-1.2841644,-0.1378316,-0.6636393,0.22644673,0.19950679,0.7738716,-1.5312183,-0.65574753,-0.27359706,1.6652831,-0.92294633,-2.665645,0.46785522,0.6140212,-1.844743,0.3060956,1.8865548,0.11642423,0.3560571,1.4044285,-0.66540897,1.0186974,-0.23630694,-0.4376024,0.5142009,-0.2569879,0.63849247,0.025356235,-0.3245699,-0.74514425,-0.091463566,-0.4157697,-0.5286599,0.4188254,-0.115930274,-0.8981513,-0.52385175,0.9969423,0.49547666,-0.1166925,0.8556273,-0.26464406,0.38263914,-0.3175676,-0.15525103,-0.16202295,0.66623557,-0.3827918,-0.553007,-0.31058103,-0.2963472,0.3706137,0.4884479,0.134018,0.16612154
2,-4.981409,-0.48909947,54.290157,-3.4094512,9.192808,-0.92964864,-5.768279,3.015533,11.184944,-2.9037971,4.7892833,-7.7025537,0.114113584,0.8313887,1.6093297,-1.0853853,-2.4082847,-2.2846532,-0.35383892,0.2721656,-4.936163,-0.411811,0.17088285,-1.4233713,2.301518,4.1691675,-1.614716,1.1796408,3.3427076,1.3003341,0.12457447,1.4556618,-2.828208,-0.3519141,0.6905556,-1.3504958,1.5503387,1.1017642,-0.11326584,-1.9578507,0.5539466,0.83967507,0.37317675,0.6705825,2.8713732,0.034171503,0.6357059,-0.357486,-0.15842831,0.608102,1.0216675,0.05918251,-0.39657277,0.17433953,1.7046567,-0.5711771,0.3955052,-0.01909427,-0.88935626,-0.89671767,0.11040604,1.2020018,-0.6242392,-1.2701011,-0.6367508,0.8344015,0.9276229,0.0141992755,1.1652576,0.4568584,0.7391524,-0.05517442,-0.25157428,-0.17342564,-0.5035327,-0.4185719,0.248507,-0.152733,0.23426685,-0.24618202,-0.39844945,0.325682,-0.40428463,-0.08444403,0.0039080177,0.010946787,0.13152952,0.35023117,-0.11380416,0.17717671,-0.09483822,0.5002878,-0.23240803,-0.30057317,0.36581686,-0.28189594,0.055065274,-0.215649,0.51974547,0.46638006,0.46274942,-0.18597893,0.1543892,0.1860637,0.2076158,-0.0055233794,0.28183675,-0.032905146,-0.16435781,-0.22837673,0.16384956
3,14.637573,-7.766572,-3.4094512,51.47902,-7.6044936,-1.1122292,0.534269,1.5676739,-1.5910263,-3.6432028,1.6586293,0.03542747,-0.8699546,-4.6934404,-0.2276316,3.028977,-1.0213964,0.41451576,-1.2395713,0.33935702,0.24971068,1.8853886,1.4662199,1.7582098,3.0819063,-1.4080777,2.9943562,2.8366303,0.6978463,-0.94291025,-1.2013813,3.6947484,-2.6004314,2.3719413,2.027675,1.2842373,0.56254655,0.134555,1.4932625,2.1911492,0.22161868,0.45537555,-2.4328904,-1.629854,1.1591587,-2.227501,1.1097504,1.9428461,1.6688029,0.18604381,-0.7012763,-0.1946193,-0.42289868,-0.4199702,1.2630264,-0.1453909,-1.7157915,0.040787995,-0.54208803,0.54073745,-1.0460498,-1.3889534,0.32384554,-1.0230219,-0.17257003,0.6708702,0.35916525,-0.5855354,-0.113202065,-0.16010663,0.16833442,0.45686308,0.11209824,0.23528299,-0.15990229,0.4244718,-0.61124885,-0.3920933,0.8418621,-0.9961722,0.14681876,-0.21889576,-0.6707523,0.17934956,-0.036204286,-0.17631292,0.0045674397,0.04989265,-0.44177032,0.56196785,-0.42799592,0.19583371,0.01776713,0.22704974,-0.107248634,0.011739329,0.21227734,-0.09532629,0.22766796,-0.11816563,-0.038712293,-0.045372784,-0.2956062,-0.3935082,0.6730065,-0.030330837,0.005992802,0.09522508,-0.19235277,0.10654692,0.4759475
4,6.915215,-7.4111524,9.192808,-7.6044936,35.051834,-5.524893,5.4500914,2.5037832,2.4872274,-4.4632235,1.9787754,0.118651226,-0.98458296,-0.10189095,-2.7555952,-3.0344605,-1.1472285,-1.569046,0.5360028,1.8989456,1.2345183,-1.1395302,1.4429322,3.082089,1.9855435,-0.7716403,-0.3074879,-1.1533263,-1.8225281,1.1639199,-0.85145605,-1.3420851,-1.0910136,-2.7843785,2.3565311,0.19033118,0.28071278,-1.0794325,0.061507933,1.0659066,0.3005734,-0.003577392,-0.32262546,0.91268694,-1.6988199,-0.056762278,-0.20103619,0.8316015,-1.2682862,-0.33352894,0.28138882,-0.57863367,-0.9598078,0.6947663,-0.106886506,-0.7803034,-0.79528034,-0.17787531,-0.7551755,0.74123454,-0.34000707,0.8590519,1.2901233,-0.43622375,-0.5414885,-0.012968564,0.087619424,0.56888825,0.70726615,0.7749218,-0.06926672,-0.31630525,0.1907714,-0.15450743,0.37373763,0.4537785,0.02803605,0.11706992,0.94916403,0.22824341,0.5606979,0.45705628,-0.7000737,0.077142656,0.5033269,0.3184899,0.23201707,-0.59532195,0.27877504,0.07131563,0.12309149,-0.33651385,-0.28658408,-0.44830835,0.037882317,0.3570667,0.394467,-0.06769323,-0.42031658,-0.5473802,-0.6590766,0.30608356,0.19777456,-0.1628392,-0.38362664,-0.07982478,-0.2779056,0.3682024,0.97068125,0.15065536,0.12885493
5,-10.365899,1.1162806,-0.92964864,-1.1122292,-5.524893,28.54597,-0.056960657,6.7761116,1.172289,4.500867,1.1935732,4.398759,1.7857739,0.71190286,1.4237099,2.0043755,-1.7444158,0.64962447,1.3125958,0.77582395,-1.3557392,-1.284045,-0.56360006,1.2738514,-3.4396055,1.6433102,-0.540223,0.7400227,1.4651059,0.64879054,0.33379716,-0.8499712,-1.410691,0.81325793,0.8880933,0.27448905,-0.44604433,0.314537,-1.5497031,-1.4480373,-1.5843956,1.4966387,-0.14371783,0.21577859,0.55104184,-1.9779214,0.7104672,0.78637815,0.73917496,-0.1493653,0.5381588,-0.9338516,-0.5065348,1.5202813,-0.19338441,0.01720598,0.3564298,-0.39021385,-0.85036194,-0.3610596,-1.1423224,0.48601878,0.74182135,1.4837148,0.35328883,0.02566128,0.12060642,1.0951357,-0.72384256,-0.36071885,-0.055329856,-0.20725876,0.50198686,0.025234368,-0.6062942,0.42564273,-1.2502784,0.6475217,0.0090237465,1.2387505,-0.08344554,-0.27471596,-0.15525955,0.5745344,0.3014265,-0.03127183,0.44351786,-0.27641118,0.8277145,-0.8856958,0.47370893,0.49172127,-0.11143488,0.24382427,0.2498467,-0.27040356,0.30269766,0.15356638,-0.16052389,0.12706864,-0.019727657,-0.58409226,-0.19133583,0.036667608,0.21574593,0.3296424,-0.18709655,0.21228033,0.2669431,0.12830189,0.2912712
6,12.288727,-6.6522126,-5.768279,0.534269,5.4500914,-0.056960657,25.387077,6.7185383,0.08220787,0.083525375,-3.8936205,1.1367337,-0.5790813,-2.7299147,0.7429855,0.2429435,-2.2127433,-3.4997935,1.2442071,1.1041142,-1.7163818,4.686548,-1.3544519,0.44930202,3.3653846,-1.4600815,-2.4285717,0.18191779,-0.9621407,1.0382864,0.74444735,1.469409,-0.94972646,1.188602,-0.8778569,-0.080844745,-1.0573637,-1.7293735,1.7769215,-0.03730869,0.9473446,0.24348882,-0.38988078,-1.0075039,-0.73322487,-0.0009687613,-1.5794401,-1.116143,-1.3055351,-0.35568544,0.14051135,-0.5283989,0.21548975,-0.3865282,-1.5680501,1.2595745,-0.5864567,-0.84484637,-0.6573694,-0.65957654,0.015414728,0.061059307,-0.22683093,0.10382398,-0.28102547,-0.39212754,-0.39092368,0.39178914,0.16907416,0.37880075,-0.32568392,-0.43594915,0.48198915,0.48085818,-0.33367592,-0.2993943,-0.1362657,0.4081221,0.15278536,0.86375904,-0.22227584,0.07963976,0.046394557,0.02080173,0.25241888,-0.66596955,-0.20607924,0.35323167,0.077938944,-0.44681883,0.68623817,-0.2629832,0.091364205,0.3773384,0.32002068,0.024555843,0.306652,0.31041682,0.029332388,0.2968479,0.056033954,-0.18368435,0.27278656,0.28284752,0.3022304,-0.04180147,-0.072484374,0.17958969,-0.038598757,-0.15091977,0.0070480825
7,-27.258942,-4.709487,3.015533,1.5676739,2.5037832,6.7761116,6.7185383,28.70052,-1.5315535,-2.6256871,-1.2097843,-2.6163983,-1.4641827,2.348981,0.8995312,3.660616,0.73890316,-1.3915033,2.9251132,-1.850707,-1.439828,-1.5022838,-0.14800811,-0.8302287,-2.016368,-2.0109844,-0.9413011,0.25643533,0.29153448,-0.9947008,-0.69708586,1.0092815,0.6863034,0.7490349,0.6746664,0.08254166,0.7101214,0.87701595,0.64435124,0.86618066,0.6654702,-1.1386696,-0.13517267,-1.2310169,-0.85868603,0.41336125,-0.7799448,-1.203573,0.49956894,-1.1928364,0.59258085,0.53143716,-0.3740073,0.17462355,0.95590746,0.29305714,0.7222399,-0.7597916,-0.62417483,-0.17038012,-0.6000867,0.18777134,0.18570606,0.33738452,-0.050955176,0.51477367,-0.73111975,0.4498744,0.35104427,0.16317362,0.34178638,0.69471514,-0.09685792,0.36818868,-0.7744182,0.3335181,-0.48618937,0.31989118,0.50631917,-0.5899571,0.21178997,0.580227,-0.2038711,-0.67312896,-0.04458313,-0.4347009,0.40796697,-0.03925034,0.26165903,0.21361975,-0.09510682,0.1830531,0.38487616,0.092210904,0.33767468,0.21826562,0.08125412,0.07651693,0.11362235,0.1108469,-0.40568733,-0.12604347,0.06326218,-0.25461704,0.058362976,0.1728996,-0.29006192,-0.12640336,0.06520061,-0.29513487,-0.11478694
8,-5.836562,6.8200245,11.184944,-1.5910263,2.4872274,1.172289,0.08220787,-1.5315535,11.546371,-1.8314605,-0.178536,-2.7334871,-1.4809774,1.6109219,-4.150043,-3.0354667,-0.57653755,-1.444958,-1.1213768,-1.0188625,1.0915415,1.0477368,-0.89627624,-1.0501072,0.21628937,0.60376745,-0.14121912,1.4260387,0.03805197,1.0450966,0.6952697,-0.15377238,-0.77681994,0.24674967,0.27526486,-0.53878903,-1.5684681,-0.6859531,-0.7151497,-0.067173176,0.22066423,0.8181366,0.33875403,-1.5872943,-0.065091036,-0.11554539,0.88943255,-0.107647315,0.5962366,1.0744026,-0.32887858,-0.15695384,0.11679478,0.44149116,0.05393067,0.62179685,-1.3049498,0.09917276,0.052906096,-0.120026216,-0.35108608,0.9282367,0.38751966,0.44350773,-0.2899509,0.48996335,-0.14032975,-0.25136623,-0.4010145,0.46107095,-0.14758848,-0.15616894,0.38285166,0.44759077,-0.36172622,0.58421934,-0.15464713,-0.03243158,-0.045952227,0.2277883,-0.28887987,-0.14102578,-0.026356146,0.096420914,-0.086143196,-0.28704202,-0.21554384,0.08301152,0.037958022,-0.39879534,-0.4609725,-0.024170559,0.0610497,0.019092124,0.41043007,0.10242325,0.0797478,-0.0535466,-0.34373438,0.18925983,0.12229508,-0.34578234,-0.010386743,0.3097106,0.28471306,-0.14213791,0.24998936,-0.042977348,-0.21703309,-0.08039319,0.12656957
9,0.46144837,-9.466076,-2.9037971,-3.6432028,-4.4632235,4.500867,0.083525375,-2.6256871,-1.8314605,10.680021,0.8486179,2.4708538,-1.3235908,-0.7520534,1.482227,-0.71819687,0.3882932,1.2550557,-2.8656192,-0.9709394,-1.2634798,-0.6612277,-1.6539717,-1.0661492,-0.6588832,1.3333657,-0.14487505,-0.0687115,0.8777907,2.27596,0.12428187,-0.6214646,0.5290315,-0.43596992,0.6391312,0.5388322,0.52436906,-0.07094655,0.8080626,-0.70898646,0.17044547,0.65148294,0.58993447,-0.5673049,0.39044526,0.22377563,-0.28944755,0.24175382,-1.3058167,0.54640555,0.91526014,0.43728593,-0.28964353,0.13726161,0.66124463,0.56706965,-0.085242406,-0.70295215,0.32934207,0.1625706,-0.11527145,-0.5259503,0.7795079,0.5799352,0.093459785,0.06317641,0.4011395,0.18758163,0.09444514,-0.36063468,0.15457621,-0.058427587,-0.007152303,-0.38155726,-0.06749548,-0.6332781,-0.4585053,-0.06369377,-0.12258771,0.24891528,-0.24085239,0.2480017,0.17223482,-0.020057393,0.04450929,-0.13173252,-0.043213174,0.49287927,0.38789725,0.048557267,0.1826263,0.04509645,0.057569847,0.40290904,-0.49303344,0.12099576,-0.083818465,-0.10792293,-0.028874628,-0.43765515,0.028059209,0.029161707,0.30903482,0.13531971,0.359797,-0.35607016,0.28267002,-0.2951631,-0.09956031,0.11622676,-0.10499087
