,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,409.1379,-9.102936,9.238353,2.4940066,8.048781,3.1885552,-2.8922925,11.993558,-6.84198,2.5351045,-5.6380873,6.3053255,-1.9735357,-1.7847192,3.7276995,0.61563206,9.9485445,-1.5514867,-2.758697,-0.032096416,1.6037843,0.92836076,-1.9651161,1.4312382,1.3391997,-1.622122,1.1597502,-0.959214,0.48604414,-1.9901868,-4.5062485,3.280655,-0.24912676,-9.031475,0.65150774,0.03821662,0.21044998,-1.8497556,0.09872098,1.5648022,-0.7037337,0.08629227,2.1930976,0.058022395,0.85589266,1.2241482,0.4334854,-1.1799126,-0.28404564,0.8018121,0.8659385,-1.825654,-0.43236527,0.6987535,-0.72891307,-2.3654234,2.0470936,1.0213934,-0.11593573,-0.09077698,-0.25158912,0.4921626,-1.6598389,0.10142684,4.9576316,0.44082275,-0.057768628,1.8254136,-0.55401075
1,-9.102936,96.83598,23.02681,-8.386012,-3.7055187,-11.176646,-3.9535825,-17.704655,14.360243,-13.750665,15.561951,-2.337899,-0.88726115,1.8417003,-4.7639036,2.8501654,-3.7112665,-4.2394743,-1.4282378,-1.2345493,-2.3296895,3.0349455,2.159744,2.2308927,-1.1166568,1.1134441,2.0352354,0.8392211,-0.92121005,1.0746446,-1.9626024,-3.8317943,-0.053415753,-2.207603,0.81088436,-0.725877,3.2495387,0.59932506,-0.2642281,-0.43105268,-0.6458623,-1.8343749,-0.20632696,-0.3242997,0.9119745,-0.120608956,2.0185626,1.4858356,1.1971666,-0.5776528,1.7715867,1.8938369,1.2577099,-1.0384476,-2.295864,0.09455298,-1.0990477,-0.6717112,-0.0441664,0.7603934,-0.054086443,0.316215,-0.50372136,-0.038538083,-0.24645972,-0.50113136,0.2634886,-0.8976121,0.5136235
2,9.238353,23.02681,99.64154,15.883131,1.0961351,5.99733,-0.4702971,3.1126997,1.0512552,4.980356,-8.15447,-0.10829234,0.14220311,-0.9004868,3.9702983,-3.7676072,-1.768988,4.501102,3.1373332,0.32450223,4.362763,-5.2939587,-4.4580755,-2.2922962,1.4044535,-2.2600112,-3.0605392,4.8092804,-0.5201332,-0.33341858,4.7547913,3.2261548,0.92288184,7.040823,-0.18130146,0.89282155,-3.8502738,-1.3363147,0.22855681,0.42359996,-0.4561713,1.328744,-1.5769024,-0.53041625,-1.8716784,-0.73063093,-2.7552788,-0.7092022,-1.020916,-0.14249492,-1.4543197,-1.1881269,0.21423548,0.5413842,1.822878,1.0310733,0.90307045,-0.4408174,0.6086641,-0.5754842,0.20275131,-0.8661676,1.106509,0.22492516,-1.0110059,-0.17208187,-0.6597055,0.45389447,-0.279832
3,2.4940066,-8.386012,15.883131,49.683258,8.900938,-1.2874951,9.9404545,20.647745,-24.197556,3.6779919,0.6022351,-2.1143079,-4.6667814,1.3692725,3.9005237,-1.2281029,3.52534,-0.30767637,0.34030062,-0.32048506,-2.5031219,3.1775382,1.3010299,-0.7700751,0.18457392,-1.0696164,1.8962344,-0.8390458,0.9800888,-1.196238,-1.6680698,0.5145933,-0.29176843,-2.6295466,0.29752916,-0.6522039,-0.42434454,-0.2277522,-0.35732323,0.87911594,0.6157407,0.91345596,1.4661198,1.0003176,0.96534234,1.2340493,0.20111263,-0.66620845,-0.21404132,0.5281552,0.028756335,-0.48306772,-1.5557544,0.5704937,0.6183757,-1.0465295,0.6346816,0.3652638,-0.74859774,0.14975391,-0.17228875,0.68019986,-0.32300812,0.4025865,1.1590654,0.7358311,0.254871,0.36010033,-0.7960367
4,8.048781,-3.7055187,1.0961351,8.900938,48.66709,4.094111,-1.8728399,1.1088914,-2.9421296,2.0387983,-6.6865273,2.4552672,2.0020895,-4.643425,0.83929884,-0.16489586,0.3605196,-0.9127165,-0.45862126,-1.3586518,-1.485909,2.0720277,2.6041524,0.4183227,-0.7135178,0.7016314,-0.43244693,-1.7927887,-0.03280282,-0.51085174,-1.2582171,-0.8740971,-1.3896029,-0.8544257,-1.5405517,-0.5047213,0.42007858,0.3986739,-0.21664834,0.2851267,0.63704365,0.70580447,0.96540034,1.0878187,0.59817255,0.8192116,-0.5511351,-0.007681422,0.16891038,0.1526584,-0.55924517,-0.04985103,-0.6247283,0.009208322,0.7650586,-0.48122084,-0.07598243,0.20824759,-0.783804,-0.06173402,-0.24337876,0.3437496,0.030064337,-0.062070407,-0.030670792,0.3149082,0.3447711,-0.46556905,-0.88970995
5,3.1885552,-11.176646,5.99733,-1.2874951,4.094111,48.404514,1.5305276,5.523067,-0.092491835,1.2743411,-2.2434676,-1.3745415,-2.0185003,0.5723872,1.7728729,-0.61258554,2.0378056,1.7000678,-0.99468637,-0.051525876,-0.598026,2.1129766,-0.9824151,-0.43902603,1.3698455,-0.7060373,0.35560653,1.0880029,-0.43598592,-1.365831,-0.8705548,-0.15160061,0.07845373,-0.604509,0.96440494,-1.132839,-1.1311376,-0.34044355,-0.17524076,0.067068405,-0.2160882,1.2078848,0.5093621,-0.6360378,0.3266067,-0.2529997,-0.6468863,-0.03541494,-0.20838308,0.6326958,-0.6745348,-0.1480467,-0.4932354,0.3967753,1.1816641,-0.7382293,0.5718353,0.33436105,0.14074117,-0.055791967,0.39564085,-0.41114864,-0.028098345,0.28382424,0.79468155,0.2248213,-0.023448601,0.39730278,-0.7202995
6,-2.8922925,-3.9535825,-0.4702971,9.9404545,-1.8728399,1.5305276,43.782383,0.7908577,1.4852283,1.0868009,-4.262062,1.4116818,0.049103316,-2.9644024,2.756855,-0.68555534,0.929946,0.5640423,0.68595695,-0.48255807,0.97242075,0.060775965,-0.70089674,-0.5165251,0.7494631,-0.77202535,-0.68529886,1.5525916,-1.5393965,-1.382418,-0.48893678,0.41726157,0.1668441,0.47050494,0.046041984,0.44274434,-0.8215207,-1.2015054,-0.57380545,0.75164723,-1.157258,0.5882306,-0.26800498,-0.030917231,-0.43630496,-0.012241398,-1.103179,-0.16650885,0.097724065,0.23766753,-0.07144515,-0.47323078,0.28508526,0.29686457,0.10446803,-0.39824665,0.39333934,0.075403534,-0.016803164,-0.289342,-0.0034350073,-0.38023207,-0.05586684,0.18882933,0.5616618,0.11209801,-0.034983907,0.47503215,-0.34669486
7,11.993558,-17.704655,3.1126997,20.647745,1.1088914,5.523067,0.7908577,44.510956,2.251934,0.37850556,-7.6006165,1.6521171,0.5051636,-2.372727,4.14668,-3.0454042,0.4344132,1.6726196,0.99015963,-0.10490599,0.66766196,-0.5041932,-3.8092408,-1.4654381,1.7654334,-2.2034862,-1.6106944,3.4118657,0.6207854,-2.292869,2.078785,1.9986532,-0.013854191,3.8679857,-0.1851939,0.05033864,-2.1651967,-2.7442856,-0.227869,1.0429832,-0.4527149,1.5429742,-0.19047663,0.26105478,-0.024729148,1.2118495,-2.6017907,-0.68317133,-1.3571113,-0.09141164,-1.4354222,-1.1990749,-0.3342555,0.9088852,2.4645612,0.07600698,1.2593929,0.20291974,0.01626844,-0.5599618,0.014595361,-0.49515453,0.6615957,0.248292,0.28415394,0.50520283,-0.25519598,-0.110017,-1.5291271
8,-6.84198,14.360243,1.0512552,-24.197556,-2.9421296,-0.092491835,1.4852283,2.251934,16.123234,2.526867,-3.8777976,1.0751151,0.18257318,-2.8914425,-2.6348567,2.1950874,0.70439714,-3.0103571,-2.4895654,0.03073437,-3.809492,2.4077828,4.480234,1.0623282,-2.2979875,1.081919,1.7230668,-6.375498,0.81262875,0.34111828,-3.2063398,-1.366157,-0.70626664,-5.2484784,-0.4637011,-0.7002919,1.937949,1.6308919,-1.047132,-0.23847121,0.38107944,-0.56996596,2.0081313,0.6705922,1.148914,0.48448998,2.360507,0.07969268,0.7696301,0.28017002,0.85215175,0.7015508,-0.040202186,-0.15147653,-1.5842886,-0.7299508,-0.5873154,0.5028889,-0.18659434,0.6007587,0.068140365,0.72211516,-0.75318927,-0.5806407,0.6135684,0.1628545,0.53158224,-0.09809549,0.17212087
9,2.5351045,-13.750665,4.980356,3.6779919,2.0387983,1.2743411,1.0868009,0.37850556,2.526867,27.962156,-1.1722151,0.34445557,-1.9450758,-1.2145519,1.5915725,-1.7408011,-0.33853745,-0.84551233,0.5266785,0.068683416,0.593764,-0.56926167,-2.1184769,-1.0833595,0.75766253,-1.8588158,-1.0709474,3.8437333,0.4879732,0.15336977,1.00407,0.17852649,0.55115646,1.9428895,-0.29889876,-0.30622643,-1.2779682,-2.0637362,-0.7712338,0.16928232,-0.11281444,0.35126716,-0.5633763,-0.05416166,-0.09272176,0.74217844,-1.1025767,-0.13824177,-1.2431377,-0.2986614,-0.3038491,-0.28317076,0.08769931,0.208291,0.92850876,0.26038632,0.82676274,-0.10550767,0.26832354,-0.3619523,-0.36528653,-0.52986836,0.38448521,-0.038068857,0.4983083,0.24179357,-0.44200012,-0.026863977,-0.5973307
