,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,388.28864,-11.605901,-0.20025328,0.44882435,-0.03718641,-0.07407084,-0.11448158,-0.010930207,-0.008262254,-0.075728685,-0.094011635,0.060322158,0.047858052,0.00091479195,0.031359367,-0.008677267,-0.015649024,0.017810222,-0.020362373,-0.010501452,-0.029146444,0.001419085,-0.013735255,-0.017446153,-0.016107872,-0.02044157,0.0050001545
1,-11.605901,191.10583,-1.0851656,-0.41682023,0.0255782,0.018673915,0.02086725,0.061067916,-0.04437334,-0.07568748,0.0053118793,0.033378795,0.054942586,-0.032661896,0.029140841,-0.007140206,0.0144280065,-0.006325287,-0.0073276386,-0.027523726,-0.028913768,0.023003671,0.012334277,0.008878175,8.234783e-05,0.021054799,-0.0013244847
2,-0.20025328,-1.0851656,16.24373,-0.03756441,0.0481979,-0.067185916,0.020176305,0.020373246,-0.032099627,-0.0014168775,-0.022712562,-0.040088274,0.008931367,0.027390663,0.029465709,-0.018895485,-0.011477814,-0.016373362,-0.0163439,0.0036735656,-0.013529571,0.0035925987,-0.011215282,-0.009764692,0.0074453736,-0.011132166,0.002489045
3,0.44882435,-0.41682023,-0.03756441,5.6921186,-0.04181175,-0.13328584,-0.02130464,-0.16948125,-0.008024808,-0.010191128,0.024816602,-0.037304215,0.019933585,0.037053637,0.018150127,0.0069308504,0.01964071,-0.0022504427,-0.0039514387,0.019426294,-0.02419402,-0.0042340867,-0.008849489,-0.009245625,0.011909458,-0.081458494,-0.03044406
4,-0.03718641,0.0255782,0.0481979,-0.04181175,3.5095525,-0.0067232335,-0.059912354,-0.06502968,0.077063695,-0.0814132,0.0413239,-0.0014365504,0.016607266,0.09456271,-0.016722063,-0.018985052,-0.025538482,0.021675467,-0.021426028,0.042878613,-0.008332545,0.0052103354,-0.032493852,-0.011976684,0.009100685,-0.008728506,-0.06447658
5,-0.07407084,0.018673915,-0.067185916,-0.13328584,-0.0067232335,3.3278396,0.05695291,0.025831647,0.055147823,0.045578025,-0.010048302,-0.06418584,0.03491871,0.031080963,0.056922905,0.0030245767,-0.031970203,-0.0049934746,-0.022549935,0.0060717007,-0.011069582,0.024209592,-0.0060076443,0.00010745129,0.023709416,-0.07460104,0.035672188
6,-0.11448158,0.02086725,0.020176305,-0.02130464,-0.059912354,0.05695291,2.4542077,-0.0029325336,-0.014623645,-0.03125368,0.06777796,0.0534605,-0.0007313217,0.007380788,0.0063831545,-0.01434215,-0.046610095,-0.028778197,-0.012075862,-0.008311598,0.0026591863,-0.04109415,-0.018484944,0.016541896,-0.03273212,0.04680283,-0.053631037
7,-0.010930207,0.061067916,0.020373246,-0.16948125,-0.06502968,0.025831647,-0.0029325336,1.8374037,-0.003675682,-0.009048922,-0.008238269,0.009874947,0.02348972,0.006358906,-0.032998137,0.01208036,0.004570804,0.020614516,-0.010547513,0.02449166,-0.015678814,-0.0010804068,0.0025935068,-0.00036566684,0.0059312657,0.004269669,-0.021872237
8,-0.008262254,-0.04437334,-0.032099627,-0.008024808,0.077063695,0.055147823,-0.014623645,-0.003675682,1.5126582,0.009315903,-0.009642416,0.008215727,-0.004863787,0.008659808,-0.014109572,0.00010744532,0.021811016,-0.03544581,0.0057814494,-0.010640718,-0.006056681,-0.01178631,-0.0072001275,-0.018661529,-0.014490252,0.040004835,-0.017726162
9,-0.075728685,-0.07568748,-0.0014168775,-0.010191128,-0.0814132,0.045578025,-0.03125368,-0.009048922,0.009315903,1.30635,0.022238776,-0.0051621664,-0.01195335,0.074681155,-0.007595038,-0.022945303,0.007048711,-0.009135252,-0.004488489,0.005942745,-0.00935938,-0.0061177816,-0.016399968,-0.0067234877,0.009871215,-0.0126549415,-0.043446343
