,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,359.9586,-38.203407,-0.36085093,14.461861,6.8588896,8.265242,-10.191014,10.462536,6.7305665,5.0951767,-1.4039099,3.5743608,-4.1184607,-7.9811068,-8.006758,-1.1676924,-1.2870667,2.5813906,-2.375946,-1.9191734,-0.114711076,-5.241111,-4.8154626,1.2346796,-2.6309645,-1.5218289,-1.835151,-2.7983043,-3.068914,1.3121579,1.0088365,0.3586195,1.4359534,2.5590327,-1.2492776,-0.66320014,-1.4217346,0.06901336,-0.15510312,0.29603547,0.65609,0.23207489,-1.0666339,-2.7465858,-0.18254626,0.57236695,1.3255174,0.055346265,1.0267694,-2.820241,2.1304326,-1.1804653,0.3913167,-1.7691376,-0.5479557,0.8558744,1.292693,0.9143488,0.014140062,-0.5939388,0.04630185
1,-38.203407,105.253075,-19.499306,7.976299,6.3232164,9.2084465,-10.830324,9.439373,4.1780634,7.825179,0.48205054,0.7883022,-5.9810543,-7.023657,-4.418838,3.0458221,-1.6183054,1.679359,-2.2975368,-2.2742693,0.19207942,-3.6102252,-0.5002051,0.76930785,-1.5719619,-2.3941526,1.1797206,-0.8290441,-1.5206751,-1.7225833,0.1034907,-0.530246,0.29074994,1.4840986,0.44974115,1.2109642,-0.89081085,-1.4770405,-0.8536073,1.3439068,0.20694289,-1.6436689,-0.0177099,-1.1567076,-0.83043957,0.5586052,0.9902552,-1.7289281,1.7024517,-0.57680154,1.8649344,-0.22213534,0.7434821,-0.70570654,0.1651789,0.72625756,0.9103476,0.44466034,-0.7075205,-0.2685682,0.11231439
2,-0.36085093,-19.499306,64.55052,-6.3908005,-1.0147727,0.6509353,-12.078813,2.3948631,6.1095505,8.324818,1.2572503,3.9659574,2.9094868,3.352312,3.3341336,1.7854286,-5.020091,-2.3812907,-3.6197495,-1.1552074,-0.879989,1.5137134,3.4535754,6.0595217,0.4467348,0.098076314,2.651536,1.1022737,1.9955227,-4.75348,-0.736976,-1.1916292,0.12598471,-0.20768444,0.9712869,1.0924507,-0.07710662,-0.91390073,-0.68306684,0.1370638,-0.15757571,-0.46044943,1.6445115,0.82947224,0.022961177,0.5282208,0.21649386,0.10501772,1.2375016,0.3382017,0.27598196,1.5718625,0.9652426,1.4799541,0.9325259,0.5708473,-1.1991799,0.18903273,-0.79529524,1.255713,-0.35223818
3,14.461861,7.976299,-6.3908005,75.14326,7.7991734,-1.6852009,1.3418722,-3.3103175,3.4794314,5.7368956,5.1193185,-1.9109156,1.4471745,1.3613663,4.013253,0.87457407,-2.207745,-2.5633628,-1.8987675,-1.0841738,0.5368305,1.9782656,0.5909436,-2.490039,0.6308953,0.43190986,0.47078446,1.9686041,-0.77927387,-1.245398,0.24299368,1.0666347,0.47936693,-0.47535032,1.7880495,-0.20064938,0.0045818943,-0.44235814,-0.18280713,-1.4880803,0.063659355,0.13985488,-0.46304923,1.289988,-0.18684831,-0.22963391,-1.4762745,1.3723531,-1.170287,0.18465042,-0.42449713,1.045955,-0.46727216,1.2051775,-0.24341434,0.06968139,-0.2094214,-0.7344856,0.49265796,0.4100266,0.17750666
4,6.8588896,6.3232164,-1.0147727,7.7991734,43.85022,-7.497507,-2.981835,2.280699,-0.9292395,-8.990971,-1.1078588,-3.8972397,-2.3676326,6.4490356,5.4223175,-2.1356163,0.4254226,0.1155692,1.4769727,3.194315,0.40650043,-3.152719,-0.84469914,2.4918976,-0.13698933,0.24279985,2.0022664,-1.6447189,2.4387918,-0.7703346,-1.874404,0.6637833,-0.8326768,0.58335763,0.47237077,-1.692044,-0.2702974,-0.9241483,-0.13693026,1.1908755,-0.63998085,0.0968231,0.8895427,-0.64136636,1.0242345,1.3736373,1.7500701,-0.13676706,0.38138258,-0.26505637,0.8449114,-0.6924286,0.44419068,-0.53042114,0.4385801,-0.19147061,-0.42142266,0.08088365,0.21277502,-0.024159959,0.19115324
5,8.265242,9.2084465,0.6509353,-1.6852009,-7.497507,47.04553,1.2019308,-5.913786,0.28372297,2.826405,1.5320077,1.6884423,2.9426568,5.031073,2.0023136,-0.7342181,4.398138,-3.4135532,-1.6524374,4.214383,1.3818376,-0.9988594,-0.0055393213,-0.32782197,0.048274517,-2.7831707,0.5031669,-2.1476872,-0.40038997,-2.01866,-1.387467,0.92988384,-0.04172217,0.14240512,0.80228055,-0.20867303,-1.2059472,0.14210428,0.5723829,0.052811116,0.5913866,-0.41269368,0.08552028,0.5328528,0.44375584,-0.14625023,0.28362322,0.43312457,-0.6633082,-0.7740644,0.12903708,0.07317658,0.22411457,-1.1001816,0.144319,-0.34362912,0.23943315,0.21011597,-0.15208335,-0.7037674,0.44184718
6,-10.191014,-10.830324,-12.078813,1.3418722,-2.981835,1.2019308,38.73121,9.578048,7.599264,-2.433497,0.5494801,2.2205865,0.3376884,0.24246557,3.564951,2.888598,-1.2740479,-1.1224931,0.28658026,0.36590034,0.1875692,-2.066394,1.7533891,-2.2289147,-0.27794635,-2.8805065,-1.3978212,-0.021945713,1.4744501,0.15083349,-0.4944652,-1.0531405,-1.5532172,-1.3676963,-1.3495955,-0.046370056,-0.12076835,-0.893027,1.0419769,0.15491115,-0.7860855,0.9745293,0.38106185,-0.019228064,0.32800007,0.4095261,-0.70847636,1.0363334,-0.032326892,-1.0553288,-0.08248712,-0.8289156,0.3173457,-0.15015808,-0.56986517,-0.3931762,-0.27357525,0.40478152,0.008095782,0.19236185,0.090735584
7,10.462536,9.439373,2.3948631,-3.3103175,2.280699,-5.913786,9.578048,33.14282,-3.7659163,-0.23871228,0.6364801,1.0441918,3.8403492,-0.57679105,0.79686844,-1.3792989,0.6552963,-2.4995284,-1.0809133,-1.2136171,0.60053337,2.5175111,-0.2939382,2.059929,1.0467122,-1.0221453,1.3759143,-0.8511175,-1.3030474,-0.57654166,-0.5857006,0.15304422,1.72368,0.5005021,-0.2534054,0.61296666,-1.0230278,-0.590979,0.23087963,-0.41932487,0.4934765,-0.9106374,-0.06878994,-0.15418002,0.038557567,-0.33864385,-0.21922627,-0.20157294,-0.34197155,0.770406,-0.25832644,0.6014496,0.3066923,0.028923148,-0.26731268,0.12940662,0.63907313,0.43222472,-0.50159645,-0.4567756,-0.15966122
8,6.7305665,4.1780634,6.1095505,3.4794314,-0.9292395,0.28372297,7.599264,-3.7659163,34.284473,-2.328181,0.23203528,-1.1838127,-1.1649823,0.3325402,-1.5447586,2.512515,0.7330378,-0.20898189,2.1524441,0.7835214,-1.9977916,1.0169541,0.6317083,0.6650433,0.83703303,0.30229193,0.93083704,-1.0548377,-1.6457269,-0.23754576,-0.3599276,-0.23662628,0.04545051,0.54950565,-1.0740885,0.10801582,1.1729624,-0.1890318,-0.38319582,0.031206481,0.85168505,-0.8568481,0.6743581,0.11013696,-0.46930593,0.08963634,-0.25420183,-1.3256037,1.5288467,1.0234407,-0.53762436,-0.34983987,-0.0037555145,0.056372426,0.2349523,-0.30217206,-0.5124191,0.25177577,-0.063613445,-0.27221733,-0.13396762
9,5.0951767,7.825179,8.324818,5.7368956,-8.990971,2.826405,-2.433497,-0.23871228,-2.328181,23.690641,-2.7085445,0.17700231,-0.71457076,-2.068592,3.6305146,-0.92788565,-1.8972805,1.9391723,2.6599882,-0.7974732,1.1198667,-1.1072786,-0.76175797,1.3194606,1.6731968,-1.2709063,1.6910013,0.23412807,1.0522511,2.5714662,-0.48488832,-1.4726648,-0.1576562,0.15891159,-1.9610584,0.25088736,-0.66811484,-1.6619207,-0.38364986,-0.46353856,-0.99551916,0.6527766,-0.25463536,0.45375678,-0.17896996,0.6309791,-0.69175774,-0.14761196,0.06756631,0.17272288,-0.50748247,-0.29306382,0.6646831,0.104821175,-0.16217878,-0.628628,0.106090285,-0.4763592,0.020573743,0.15525591,-0.77616227
