,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,9.087217,10.362086,12.714495,-7.3684206,-4.1957884,2.665365,-1.0952139,-5.3917828,5.7509737,2.9312558,-3.4691896,-2.9632215,-1.0451717,1.7119653,1.0643135,0.0015990974,5.7938313,0.6114336,1.1069577,0.85997397,1.398562,1.2018452,0.6364663,-1.0210824,0.27952972,0.6685965,-2.8874383,1.6416562,0.56429493,0.47087163,-0.27833915,0.99184585,-0.22421688,-1.8423877,-0.64009815,0.532487,0.3532008,-0.6018177,-0.24809116,1.6904063,-0.341129,0.4808805,0.18727475,-0.3446312,-0.5581379,0.8184107,0.87227654,-0.6460712,-0.24024898,-0.56473327,0.7338749,1.088903,0.10960546,0.04377695,-0.20515865,-0.5932585,0.34465137,0.64912915,-0.6750169,-0.8872007,0.7768148,-0.7167728,0.049502626,-0.0820734,0.046621792,-0.27592915,0.8186281,0.39234695,-0.4950974,-0.5371853,0.55736923,0.047634948,0.34816873,0.13743126,-0.095025845,0.17693579,0.021554373,-0.6538191,-0.49467915,-0.42865258,-0.4260835,0.611969,0.5824049,0.6111139,0.15966758,-0.22645831,-0.068687305,-0.02951638,-0.11316861,-0.4378547,-0.026116602,-0.08808912,-0.17022428,-0.05554028,-0.15981248,-0.23306778,-0.14485207,-0.13616654,-0.02586817
1,10.362086,113.41139,-10.938265,-5.060237,-1.4486492,1.1121271,4.0717926,3.9066637,8.601412,-1.2585478,-6.8524046,-2.5376027,0.57462394,3.6981597,-8.3522625,1.2654502,4.986805,6.102006,0.054017067,7.253544,-1.9048854,4.156908,3.2619681,-1.9748807,-2.059851,0.42383593,-6.5305886,-0.2522987,7.837386,-1.0598774,-1.6863658,-0.5245507,1.6946466,-9.837324,3.6011887,0.15193066,4.698019,-4.217578,-2.2407665,4.342226,3.6512764,-1.3917758,-0.9022957,0.37913287,0.8774426,-0.37453082,1.5983834,0.23961514,-3.495856,-1.7408675,2.1722503,0.37844133,3.8806226,-0.667855,0.56368375,-0.5662861,-1.3351023,0.41702288,-2.7444434,-2.2418113,2.755241,-0.8321912,-0.21925315,-0.99342763,1.5320127,-0.1574055,0.41704917,-1.0081589,-1.9348805,-1.2146049,-0.003913033,-0.098534234,1.3246667,-0.19293681,-1.3269823,-1.1718102,0.81585586,0.28133482,-0.55484295,-0.9892055,-1.185129,0.03478975,2.4948876,0.09260404,0.26186514,-0.23764513,-0.8756263,1.1301199,1.6257529,-1.3286562,0.048174463,-0.49748987,0.087309286,0.36298746,0.66299474,0.1465174,1.2846494,-0.60798484,0.02083224
2,12.714495,-10.938265,69.96463,-1.4980049,12.085798,10.277828,-5.2629876,-5.294571,0.43718177,-1.6192337,-8.420839,-0.8969853,-5.9450617,4.4284415,3.1322231,-11.836691,8.808372,-2.7773287,-1.0551504,-5.4006424,2.8531098,3.7640758,0.08769731,-3.0575948,-0.33883846,-0.8184253,-1.9918537,3.8657029,0.2574184,-0.46692166,2.6763892,2.5350208,-2.6589634,-1.2109462,-1.7188843,-1.4551105,-4.4127035,-0.23634574,-2.223864,2.6937006,-2.1715684,2.42535,1.2874657,-3.1814203,-1.406306,-1.3825545,2.0189357,-1.3056526,-1.1714499,0.7905203,1.7328174,1.5960803,0.9362316,1.8373767,0.7398912,-0.3934641,0.19452345,1.0077953,1.1427088,-0.18422306,0.44855833,-1.1615903,0.40509427,1.0407714,-0.15882823,0.7761678,1.7862728,2.1241345,-0.8516551,-0.76357603,1.6207769,0.23528567,-0.026337942,-0.94054484,0.27376413,-0.121617466,-0.53716576,-0.76730615,-1.290996,-0.0017236713,-0.595117,1.5328069,1.2368184,0.4623875,0.5468065,0.1508941,0.33581817,-0.41318923,-1.102129,-1.5124195,-0.578419,0.31387645,0.4348199,0.14387855,-1.4003803,0.65243304,-0.33089948,-0.69851506,-0.29203045
3,-7.3684206,-5.060237,-1.4980049,39.837357,9.185455,4.4414873,4.882063,7.6545267,-7.362734,-0.037896253,-2.1936462,3.0351925,0.2628966,-6.7162285,-1.8602283,0.19344988,-2.9239173,-1.979428,-0.816906,1.2106464,-0.9936028,2.8501294,2.6977255,-0.13135347,1.0233841,0.7272322,4.30685,-2.9217293,-2.6079803,-2.240922,-0.45541668,0.4364351,0.42747098,2.735968,1.691834,-4.560568,0.08644006,-1.164578,-0.5763179,-1.3555206,0.9979998,-2.2892404,1.9094119,0.4159382,1.9762558,-1.3289286,1.964261,0.1963634,-0.9917934,0.27127457,1.8696288,-1.6580038,0.59280765,-0.056662712,0.4518143,0.8745291,-0.22107047,-0.58080775,1.2398131,0.051403623,-1.3959379,-0.8104466,-0.8824959,-0.7468988,-0.6986759,0.6643846,-1.6536533,-0.47363096,1.4215937,-0.060030334,-0.294998,1.5346045,0.29812124,-0.11649099,-0.6997419,1.3552301,-0.5160252,-0.13345844,0.011710484,0.71554524,-0.33031774,-0.5216712,-0.017164059,-0.51230943,-0.44049177,-0.43894958,0.89777887,0.1657438,0.3010928,0.07423353,0.75435865,0.25460857,0.11499002,0.85598004,-0.32425708,1.3166015,-0.04201398,1.3234067,-0.5965335
4,-4.1957884,-1.4486492,12.085798,9.185455,35.95925,2.9662466,4.16119,3.2491324,-6.8523607,-6.4676094,8.856321,-1.9357455,-2.8272884,3.3530333,-8.17682,-4.861583,0.265894,1.5991007,5.4172425,-2.0879161,-2.590703,-0.5381458,3.0700498,-0.10761398,-0.6860776,-2.7251482,1.6804085,1.504116,-1.4035116,-2.8804622,-0.85763025,-0.30521178,-0.4960612,2.012137,2.2040575,-2.828929,-2.7234015,-0.34382862,-0.6485379,0.055703975,-1.4223764,-0.8239564,0.2905512,-1.1786844,0.037517443,-1.0314484,0.05335264,-1.1306841,-0.5903572,1.6580814,-0.072422385,-1.7469467,1.3506116,1.8996644,0.27232224,-1.5842477,0.14859939,0.82796,0.727309,0.94792235,0.99647486,0.4507103,0.22370432,0.8669271,0.9509357,0.79406697,0.40810782,0.5719415,1.4493657,-1.1861598,-0.901988,-0.11346021,-0.6141219,-0.6100235,0.65921366,-0.5592984,-0.483127,-1.0157976,-0.33103567,0.8588874,0.21111938,0.009951267,-0.40750045,-0.72495973,-0.089172706,0.03688651,0.34453595,0.4602819,0.0879225,-0.43141228,0.9301652,0.22515252,-0.08071725,-0.15562394,0.13392898,0.96246755,0.06455544,-0.37672,-0.448555
5,2.665365,1.1121271,10.277828,4.4414873,2.9662466,21.333124,-0.17393887,8.55896,4.386707,1.4688544,2.6298747,-0.3510458,-0.5648145,6.601904,-1.8496491,-0.349643,2.484899,-2.599694,2.329112,1.4825691,2.0452282,-2.361786,0.05991231,-1.6052929,-1.6314754,0.82749355,1.225175,1.3898003,-1.441624,-0.30359626,1.6576662,0.79774714,-1.7796166,-1.6302755,1.1086107,1.2126228,-1.7204995,-0.85500073,-1.6263711,-0.06302281,-1.2880421,0.8671628,0.55962193,-0.20260927,-0.033395525,-0.12554228,0.8801463,-0.9437143,-0.28797823,-1.3493654,-1.1241231,0.021726295,-0.9194485,0.73850155,-0.77413446,-0.22238761,0.22827265,0.35913146,0.74381185,-1.2962657,-1.0372318,-0.4052278,-0.33438176,-0.5528277,0.5281762,-0.35374692,-0.70851374,0.70445955,0.072201386,-0.629205,0.050467227,0.83748794,0.8893934,-0.40372163,0.92829454,0.2985312,-0.17620477,-0.1405741,-0.8066071,-0.8154334,-0.37648642,0.1015663,0.5567124,0.36851397,-0.074877456,0.087857395,0.36655015,-0.47702616,0.21195573,-0.31216657,0.45605296,-0.3304271,0.010849724,-0.3277922,-0.2624858,0.667786,-0.05729363,0.17290714,-0.18827873
6,-1.0952139,4.0717926,-5.2629876,4.882063,4.16119,-0.17393887,19.938393,5.780033,-1.7982407,4.1852612,7.437483,-0.057163995,-2.1993299,-3.1240149,1.0446354,2.4226983,0.5736754,-0.27059692,-0.43493527,1.0607793,2.3583646,2.5975556,-0.70280564,1.9169111,-1.0599246,-1.6456997,1.3337642,-1.8501761,-0.23846158,0.23137088,-1.4866635,-0.05807399,-0.18777984,-2.384057,1.016077,-0.83372283,0.83252597,0.70771253,-0.124188684,-0.2970808,1.8695223,-1.2845905,-0.5301963,0.3800292,1.2505183,-1.0509338,1.4609947,-0.43326885,1.6824205,-0.27572125,0.9773921,-1.1355482,2.2967818,0.80455494,0.71727204,-0.34659636,0.71132076,0.62246835,-0.70591307,-0.61553913,-0.15859199,-0.89347625,0.81842875,-0.031097598,0.4920497,0.2930802,-0.2997924,0.13167655,0.14502601,-0.48437902,-0.27493685,-0.11641734,-0.2999973,0.41867626,0.023598287,1.1674197,-0.035109386,-0.14675629,0.08141807,0.08780487,-0.039529756,0.12095121,-0.24550173,0.18482892,-0.31050026,-0.7275646,0.6275946,0.333646,-0.4463629,0.074784905,0.6843734,-0.22804883,0.0490352,0.05138542,0.5496172,-0.0014966286,-0.24773178,-0.072424315,-0.5314098
7,-5.3917828,3.9066637,-5.294571,7.6545267,3.2491324,8.55896,5.780033,32.47063,-2.7038755,-0.77345467,6.2351108,2.6252236,4.3937917,6.8222475,0.52826035,1.9893749,-3.3434935,-0.63517463,3.3657591,2.5296354,2.3427134,0.43820968,-3.5041962,-2.2528062,-0.3719808,-1.8252199,3.9649181,0.881436,0.42780998,-0.4906863,2.4364877,0.6232617,-2.053731,-1.1353953,2.3172927,-1.2147393,-2.4086337,0.24101156,-1.7482963,0.8539384,1.1355262,-2.0869622,0.8294529,-0.6028639,-0.5433452,-1.2044492,0.22815403,-0.17501861,1.3752136,-0.025462061,-1.1905534,-0.3617987,-0.038679376,-0.07563993,2.5106144,-0.5620614,0.4620523,0.20055045,2.1360023,0.09032723,-1.1940969,-0.45738602,-1.0680721,0.10525359,0.03196974,-0.27355772,-0.23062313,0.41098732,-0.46444243,0.41507047,-0.7566544,0.40429303,-0.5932405,-0.16096747,0.32403612,-0.18452953,-0.17694187,-0.09371695,-0.48983413,-0.7549745,-0.3456961,-0.14350224,-0.11715494,-0.08527128,-0.15263228,0.010961644,0.31906855,-0.20662126,0.284414,-0.03208065,0.2879789,0.035355397,0.28513193,0.38140172,0.28731883,-0.13493758,0.93166566,0.48479575,-0.37388128
8,5.7509737,8.601412,0.43718177,-7.362734,-6.8523607,4.386707,-1.7982407,-2.7038755,24.789442,2.7429893,-3.77745,-5.6715593,2.817406,2.6077285,4.172443,0.40409923,4.029332,-2.0838265,4.7568445,0.7352066,0.46768633,-3.4213967,0.40202954,-0.4088757,-2.0394049,3.298758,-2.6290917,1.2109962,-0.26041973,-0.77774906,1.7425697,1.6650273,2.0700026,-2.3267884,-1.1475828,1.1896062,2.1941156,0.7862543,1.0455852,-0.27897787,0.9337408,1.3318999,0.6763369,1.5239762,-0.504688,1.7153726,0.53124845,-0.95214903,-0.23992604,0.003792962,0.12962884,0.48510927,-0.9440683,-0.054182503,0.9099647,0.21383138,-0.8375125,0.9204277,-1.1040884,-0.28715175,-0.22185315,-1.5097101,0.16921636,0.20443755,-0.62863183,-0.20362172,0.51115626,0.68506837,0.055676192,-0.80368793,-0.48312467,0.10832992,0.2712823,-0.79797435,0.36614364,-0.2495333,-0.788113,0.13510133,-0.82185996,-0.6091652,-0.62443674,-0.34507424,0.29246777,0.7358997,-0.103891194,-0.35030615,0.31131637,-0.2415165,0.70234054,-0.7536417,-0.5223665,-0.6779034,-0.51344824,-0.17991605,0.38077423,-0.16476208,-0.7179611,0.4072965,0.01922884
9,2.9312558,-1.2585478,-1.6192337,-0.037896253,-6.4676094,1.4688544,4.1852612,-0.77345467,2.7429893,16.24048,-2.1622849,-0.62588096,-2.8694003,-2.6780972,3.357363,1.1680224,3.4489112,-2.0539944,-4.280302,-0.3081408,0.82053256,-0.33488184,0.5749794,2.5182943,-0.45892268,-0.5980598,0.47901964,-0.6569984,-0.123360336,0.2650243,0.046381198,0.5114211,-0.7160066,-1.2486894,0.35026062,-0.6578593,1.1848936,-0.09812045,-0.51581454,-1.0216224,-0.15491973,-1.0410494,0.51003665,1.1233549,0.3319782,-0.3124807,0.81055856,0.090325415,0.9399579,-1.224046,0.23887351,0.8613439,-0.46661907,0.06157676,0.58652425,-0.17089486,0.3559535,-0.13201901,-0.8669628,-1.2476547,-0.85055095,-0.70801234,0.58214366,-0.45597452,-0.15838456,-0.34185094,-0.4663144,-0.3533175,0.100934416,-0.63790023,-0.3012761,0.38993806,0.1265848,0.24708614,-0.11993332,0.4333799,0.3910162,-0.17751458,-0.71121466,-0.3729627,-0.5041504,0.13597205,-0.10724382,0.28733242,0.084718436,-0.31419748,-0.11674911,0.029948367,-0.32627773,0.62291646,-0.09674545,0.48849094,-0.6797466,-0.49587044,0.46001068,-0.103020504,-0.32373804,0.043590356,-0.37792224
