,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,11.776586,-9.533641,-8.356134,8.677741,22.326591,2.098825,0.01658542,1.4567118,4.294438,4.0080833,5.9062166,-1.5147703,1.6317031,-0.5191184,0.3969605,-2.2527962,3.480991,-0.638642,0.1639953,2.8702545,-0.8867985,1.157465,0.2812567,-0.544752,0.47615993,1.3378105,-0.5829742,-1.1179198,-1.4561977,-1.8060157,0.43979555,-0.1225498,0.15827838,-0.94790244,1.3144162,0.61987054,0.5627972,-0.7191018,0.5084498,0.39576292,-0.5651743,-0.53004444,0.15562639,0.06155294,0.23305906,0.2030595,-0.27689353,0.40797105,-0.60684156,0.2909683,-0.49371824,-0.0073561138,0.06369233,-0.15183678,0.43354976,-0.07890317,0.37472612
1,-9.533641,127.498474,9.9354315,-31.759274,-25.223701,-17.191956,-7.779058,2.075893,16.516636,7.979218,10.648487,-10.240118,11.170465,-13.85947,3.480671,-1.3877312,-7.843796,-3.5614605,-10.695385,-1.5508378,1.7542485,-5.901622,2.3578587,-3.9310446,-2.009857,-0.3492555,4.687867,2.692275,0.55853456,-0.5501886,3.769316,-0.05086156,-0.08848041,-0.24330676,-1.8441948,-3.7668288,0.52475214,1.5712559,0.3387096,1.4733268,1.304584,0.9273032,-0.39413851,1.0493263,0.8764334,-0.5384319,-1.1600132,-0.35358465,-0.31920403,-0.55359197,-1.0672429,0.97428596,1.245837,-0.60069215,0.9295796,-0.31919575,0.29236215
2,-8.356134,9.9354315,102.366585,1.4108434,-15.712358,-13.2324295,-2.685895,-7.537167,-1.5688062,9.7133045,-4.190301,-2.9574964,-4.788351,-6.0252123,-5.688262,-4.662742,11.993631,-3.7121894,6.757742,2.5114777,-1.3177547,-3.9668207,-0.51624787,1.4542382,0.25629604,1.4638567,0.9847617,-0.8434147,1.5503194,0.5601366,-1.3885095,-0.9440478,-1.601689,1.3056842,0.35933506,0.52172446,-1.1952891,-0.20174913,-0.4443449,-0.11463484,2.432486,-2.289897,0.1389595,-0.1718257,0.26825243,-1.9903679,-0.17439789,-0.7554693,0.7278049,-0.80969983,-0.9707885,0.09056418,-0.36352044,0.23805788,-1.0883651,-0.4162268,-0.29094595
3,8.677741,-31.759274,1.4108434,69.292145,4.3142405,6.15446,-4.0501137,-6.2995095,-6.890646,18.501537,2.0297444,-1.7373375,-9.890513,-0.5952542,3.2985086,0.2826751,3.196116,6.116048,-2.2903404,3.3498275,-0.6282004,-2.2780128,1.2366238,1.6767353,-0.06729162,-1.5973746,-1.1572022,-1.4159114,2.5685604,-0.3779774,0.6648153,0.8689318,1.7777283,-1.2225189,-0.89073694,0.72086155,3.4251833,-0.27422726,0.9796485,0.44447148,0.38847893,2.6893654,1.003173,0.6334739,-0.1237936,0.09157195,-0.440314,0.54515344,-0.29538238,-0.26829463,0.9873293,0.5086192,1.1888077,-0.5190295,0.82755065,-0.43432492,0.23860177
4,22.326591,-25.223701,-15.712358,4.3142405,91.58198,-14.705944,-3.0021763,-9.748827,0.7159773,1.8344154,7.1408277,-4.838189,3.2549067,-5.55563,-2.6839137,-0.5065286,-0.40826607,-4.878764,4.400934,1.5308616,-1.2991006,0.23737949,1.417141,-0.5542928,0.55297655,1.8574687,-0.46913153,1.6354105,-2.9049318,1.5090325,0.6077144,-0.9300761,-0.33228698,0.0688601,-0.775887,0.95709914,-0.8264925,-0.020271601,0.9239857,-0.6364187,0.6022171,-1.9677196,-0.62619877,-0.4677968,0.6611543,-0.465711,-0.4844146,0.9641857,-0.972925,-0.17110288,-0.51607776,0.39534944,0.25923887,-0.23652428,-0.6295165,-0.14237663,0.7301669
5,2.098825,-17.191956,-13.2324295,6.15446,-14.705944,52.483448,-8.546804,4.4050198,-2.0070038,-5.706211,-3.0459132,-11.102299,1.714157,5.8012543,-7.809767,6.0169888,3.9499602,-7.856597,1.2793907,2.3718815,1.3277541,-0.46577013,-1.044249,-0.7426107,1.2452475,1.1385056,-1.4699446,-2.2367516,1.4678915,-1.860178,0.59818244,1.5702138,0.8604195,-1.9090474,0.5720677,-1.0653903,1.2242017,-1.4732132,0.32944876,1.3518736,1.3916545,-1.0827403,0.039591957,-0.7344496,-1.3877816,0.8587917,0.24746871,-0.11982559,-0.4144619,0.18358009,0.7463378,-0.045926176,0.5960209,0.32120872,1.1193916,0.18545201,0.48198473
6,0.01658542,-7.779058,-2.685895,-4.0501137,-3.0021763,-8.546804,27.89913,-9.777039,-6.9653673,-1.8941791,-6.4475718,1.0078549,9.381961,0.006903734,2.5521445,-5.5981855,0.8768574,2.746714,1.1720712,-1.359893,-3.21369,0.9192196,0.023780935,-1.3959355,1.1421555,0.23860179,1.4319304,-1.6925855,0.3594382,-2.1530454,-0.97302,-0.5224652,-1.2038395,-0.32052588,0.01733971,0.15030667,1.1980636,-0.046563566,-0.8180561,1.0911306,-3.2302213,0.6457875,1.026273,-0.46176183,0.0621145,0.058899008,-0.09593217,-0.8508389,-0.99663305,0.1853427,0.32919466,-0.31882483,0.12536244,0.57598734,-0.13219956,0.0350691,0.24683985
7,1.4567118,2.075893,-7.537167,-6.2995095,-9.748827,4.4050198,-9.777039,28.635315,0.59230113,-3.9429839,0.5890458,6.5062246,-1.9894662,-4.375979,-2.9706235,0.2583354,3.9556785,1.5263054,-0.41250807,4.28274,-1.9176283,2.0403028,2.1400857,0.63572097,-1.194867,-0.019756865,1.2714028,1.3565984,-2.4780726,0.012497958,1.7811121,0.5092726,0.8878757,-0.65668,1.2995944,2.8740976,-1.1247134,-0.12203668,0.7033627,0.41843247,-0.2524761,0.34080443,0.15107664,-0.062341996,1.0154309,0.64439213,0.36014187,0.69590724,-0.08714099,0.011892169,-0.73335356,0.4691757,0.4363116,-0.98653805,0.34916016,-0.098146886,0.412001
8,4.294438,16.516636,-1.5688062,-6.890646,0.7159773,-2.0070038,-6.9653673,0.59230113,24.548683,2.4181786,6.7174063,-7.2494907,-1.9035065,6.58663,3.9912412,-4.66618,-0.8200582,-0.78801864,-0.13323553,0.45077363,-3.223053,-0.41866785,0.35955724,2.8383217,-1.8401912,1.4869204,-2.0764728,-0.59583795,-0.9100375,-1.6663675,-0.18048596,-0.77159715,-0.83704317,-1.053365,1.6759682,0.06404975,-0.8224025,-0.0794998,0.09211651,-0.39686555,-0.038887743,0.4781711,-0.5307691,-0.40495613,-0.3961705,1.0695202,-0.20134933,-0.027550064,0.6315336,0.6621586,-0.66323614,-0.054161273,-0.4864377,-0.37967283,0.075409554,0.08207119,-0.046967283
9,4.0080833,7.979218,9.7133045,18.501537,1.8344154,-5.706211,-1.8941791,-3.9429839,2.4181786,26.51728,-1.4441469,5.971922,4.4907827,1.180162,-0.095404595,-2.3960958,-0.7213586,-0.94535804,-1.4037833,0.29523176,1.674904,-2.090499,-1.3954341,0.6278909,-2.8850574,0.08782926,-0.49831522,-0.36629164,-0.34102046,-0.03549914,0.38506088,-0.081006005,1.3802116,-1.4964969,0.94987404,-0.6257082,-1.0996137,-0.3939247,0.7290093,0.21136898,0.024765626,-0.43639743,-0.265855,0.6218892,-0.055100445,1.0419714,-0.008760555,-0.3095724,-0.39580923,0.32583663,-0.35030174,-0.07478601,0.31039032,0.06780168,0.9670569,-0.5205906,0.052977607
