,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,531.38275,7.9228783,7.5092387,-8.004027,-19.758106,-2.0627942,0.007130212,-1.2069601,-3.8883846,-3.7687874,-5.0685577,1.4716797,-1.5894353,0.514673,-0.29812798,1.8422952,-3.0266635,0.6313509,-0.23820001,-2.3995953,0.72336656,-1.1468606,-0.26844865,0.5520389,-0.27030727,-0.9988451,0.66695535,1.0294029,1.3859559,1.5582349,-0.4001084,-0.0086559,-0.1177496,0.75396967,-1.2153492,-0.5739888,-0.55343735,0.5836688,-0.48283458,-0.37982047,0.58424723,0.4945405,-0.08882877,0.07455602,-0.22451401,-0.13918334,0.30792245,-0.3910795,0.589293,-0.2994402,0.4044268,-0.025598785,-0.008114308,0.18954143,-0.4361889,0.06207727,-0.33765972
1,7.9228783,133.30205,-7.9556704,25.964737,22.97533,14.383207,7.3551407,-1.7418408,-15.14352,-8.502931,-8.745256,9.7864,-10.814966,12.968211,-2.6523788,0.24789208,7.335907,3.5725207,8.609233,2.3050303,-2.0773902,4.1485023,-2.4712944,4.1637573,2.8962634,1.6677885,-3.0504274,-1.8784084,0.36399513,0.15510085,-3.4845486,-0.63558114,0.19998133,-0.21574312,1.3098006,2.906568,-0.9134295,-1.6683977,-0.55658376,-1.4310166,-0.7163502,-0.44464177,0.45945248,0.08871764,-0.84731185,0.69218606,1.5035675,-0.07039365,0.6499232,0.340609,0.7534571,-1.2004743,-0.98765373,0.95949304,-1.2369173,0.21594325,-0.20334929
2,7.5092387,-7.9556704,43.347923,-0.8739926,13.711617,11.7824,2.14261,6.662038,1.4184203,-8.215564,3.5274134,2.4584584,4.3168635,5.1687098,4.8355064,4.359784,-10.706419,3.0296292,-5.7559466,-2.4495547,1.293469,3.918326,0.52122176,-1.4518113,-0.45320997,-1.7016749,-1.1071615,0.5800526,-1.6139073,-0.50265974,1.2623806,0.94848365,1.3568132,-1.2201345,-0.21171927,-0.29689342,1.2055415,0.23694031,0.46993232,0.11435084,-2.1946177,1.8357123,-0.09899084,-0.0207228,-0.2042971,1.748596,-0.0040819678,0.7883565,-0.712808,0.7088504,0.8868541,-0.04914593,0.37524444,-0.29006392,1.0434518,0.41240874,0.22636032
3,-8.004027,25.964737,-0.8739926,48.196445,-3.6963716,-5.9712152,3.6452906,5.49566,5.9961743,-17.128132,-1.3383886,1.9779158,8.146139,0.96615905,-2.5379753,-0.64661044,-2.6346884,-5.1211967,1.6384547,-2.4852903,0.4153817,1.4369106,-1.2984493,-1.188807,0.6125436,2.0555634,1.4721954,1.497575,-1.8311232,0.19218668,-0.75983614,-1.0861232,-1.4794352,0.99179256,0.60256803,-0.8785175,-3.2357178,0.074483946,-0.9276903,-0.49444577,-0.11657025,-2.212275,-0.8433261,-0.067123204,0.09211349,-0.024821233,0.59122884,-0.6826931,0.4744368,0.15591007,-1.0259868,-0.6301769,-0.98979795,0.70772564,-0.90552807,0.37822986,-0.20010418
4,-19.758106,22.97533,13.711617,-3.6963716,24.127539,13.029102,2.7441332,8.5557375,-0.71105343,-1.4169166,-6.4032598,4.1390944,-2.6967535,4.79138,2.2302108,0.5488192,0.3185255,4.1283092,-3.7899628,-1.456314,1.1338629,-0.03705133,-1.1595709,0.3930071,-0.6316328,-1.7305456,0.34383315,-1.5105715,2.4408941,-1.3256235,-0.5234115,0.846079,0.2778918,-0.12135314,0.7259624,-0.70853275,0.8446816,0.029161591,-0.75121224,0.5573213,-0.5618458,1.6590278,0.58757174,0.27127725,-0.57437444,0.41920716,0.35786283,-0.797652,0.8310205,0.13849577,0.46939301,-0.3178649,-0.17995977,0.13206255,0.62591064,0.12827729,-0.65279114
5,-2.0627942,14.383207,11.7824,-5.9712152,13.029102,49.01294,7.5811644,-4.092852,1.7918137,4.813126,2.5514388,9.910109,-1.6186235,-4.9025064,7.062331,-5.4851265,-3.593149,6.91339,-1.137511,-1.8801281,-1.0462688,0.1500482,0.78755903,0.8044781,-0.8858229,-0.76508474,1.4365273,2.0769544,-1.170919,1.6027282,-0.61255735,-1.5239131,-0.70189595,1.6159873,-0.59056723,0.9048797,-1.1611104,1.2360783,-0.25551173,-1.2363656,-1.1530131,0.97763216,0.055143386,0.75718033,1.2072084,-0.7330376,-0.19641677,0.043987818,0.44064575,-0.22512454,-0.7060509,-0.040956862,-0.45193398,-0.15478413,-1.0003072,-0.1484296,-0.47519875
6,0.007130212,7.3551407,2.14261,3.6452906,2.7441332,7.5811644,45.524933,8.764044,6.3334427,1.773479,5.3683023,-0.98286307,-8.1148815,-0.13759921,-2.3452678,5.0094748,-0.8647191,-2.4014,-0.8659173,1.1233908,2.9552243,-0.8990186,0.022497898,1.1629179,-1.0783759,-0.33958194,-1.384708,1.4440658,-0.40667093,1.8966448,0.9051172,0.54365456,1.0925087,0.3200812,-0.060652457,-0.12363089,-1.0887444,0.05892697,0.79326314,-0.95783204,2.8262892,-0.62265384,-0.8588749,0.21073604,-0.07400845,-0.100316055,0.025357489,0.8051739,0.8619349,-0.18180296,-0.21606678,0.32159644,-0.08582081,-0.5594884,0.18650186,-0.00966286,-0.29580998
7,-1.2069601,-1.7418408,6.662038,5.49566,8.5557375,-4.092852,8.764044,24.25165,-0.5432018,3.391417,-0.3297097,-5.6711817,1.7081561,3.840341,2.6198452,-0.26960814,-3.3775504,-1.3875259,0.30132076,-3.722953,1.6142387,-1.7315222,-1.8294773,-0.61546534,1.029274,0.10291912,-1.0803778,-1.2202139,2.1647902,-0.0532261,-1.6356115,-0.4832476,-0.8148662,0.5101502,-1.1212199,-2.4940588,1.0784582,0.089288674,-0.61760294,-0.38445324,0.22034092,-0.28081653,-0.120765835,0.076736435,-0.90250456,-0.5678916,-0.31893128,-0.6077622,0.07538777,-0.005123875,0.6172291,-0.37851596,-0.3554226,0.84823227,-0.32540786,0.07662095,-0.3449121
8,-3.8883846,-15.14352,1.4184203,5.9961743,-0.71105343,1.7918137,6.3334427,-0.5432018,25.045513,-2.2241974,-5.689266,6.4392114,1.601996,-5.7896523,-3.4297128,3.9611938,0.7635753,0.7821553,-0.054781877,-0.32394987,2.6957874,0.37614283,-0.3119585,-2.389225,1.7578506,-1.0706495,2.0579095,0.56265986,0.9078105,1.510207,0.26924658,0.5694692,0.7701417,0.86221564,-1.4962299,-0.102280326,0.6598552,0.050014615,-0.19462028,0.35756248,0.12575954,-0.35727665,0.45588607,0.5645102,0.32199562,-0.83366823,0.30366632,0.013937173,-0.5176461,-0.5783672,0.56217515,0.036183197,0.4240356,0.38739341,-0.19185795,-0.11498292,0.090842456
9,-3.7687874,-8.502931,-8.215564,-17.128132,-1.4169166,4.813126,1.773479,3.391417,-2.2241974,18.900148,1.4632239,-5.0411835,-4.2924275,-0.76315814,0.28145987,1.8035142,0.69158494,0.9080657,1.00576,0.002804412,-1.5953732,1.4698985,1.0332137,-0.3012051,2.9660225,0.35643378,0.7323046,0.5223652,0.6071872,-0.05580476,-0.41632718,-0.11077966,-1.1822362,1.1867774,-0.9518137,0.4338115,0.81726986,0.2572415,-0.7171833,-0.23525067,0.105942935,0.47894782,0.27505088,-0.2341901,0.020121833,-0.8630928,0.14372434,0.14456047,0.47070092,-0.34352154,0.24562526,-0.05499153,-0.24615484,0.12259887,-0.96363,0.4555334,-0.011861348
